target,candidate_set,component,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
KEAP1,all_U,adjusted_logit,3,450,453,0.7414814814814815,0.12052430728388916,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,30.200000000000003,0.23463936301137822,1.0,1.0,0.3333333333333333,0.1,15.100000000000001,0.23463936301137822,1.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.23463936301137822,1.0
KEAP1,all_U,probability,3,450,453,0.7414814814814815,0.12052430728388916,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,30.200000000000003,0.23463936301137822,1.0,1.0,0.3333333333333333,0.1,15.100000000000001,0.23463936301137822,1.0,1.0,0.3333333333333333,0.05,7.550000000000001,0.23463936301137822,1.0
BRCA1,context,raw_logit,3,150,153,0.9333333333333333,0.18434343434343434,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.3152014104491349,1.0
BRCA1,context,adjusted_logit,3,150,153,0.9333333333333333,0.18434343434343434,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.3152014104491349,1.0
BRCA1,context,probability,3,150,153,0.9333333333333333,0.18434343434343434,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.3152014104491349,1.0
BRCA1,background,raw_logit,3,150,153,0.9688888888888889,0.3547008547008547,3,3,3.0,0.3333333333333333,2.0,0.6666666666666666,0.4,20.400000000000002,0.4367467095119258,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.4367467095119258,1.0,3.0,1.0,0.15,7.6499999999999995,0.5600025487046494,1.0
BRCA1,background,adjusted_logit,3,150,153,0.9688888888888889,0.3547008547008547,3,3,3.0,0.3333333333333333,2.0,0.6666666666666666,0.4,20.400000000000002,0.4367467095119258,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.4367467095119258,1.0,3.0,1.0,0.15,7.6499999999999995,0.5600025487046494,1.0
BRCA1,background,probability,3,150,153,0.9688888888888889,0.3547008547008547,3,3,3.0,0.3333333333333333,2.0,0.6666666666666666,0.4,20.400000000000002,0.4367467095119258,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.4367467095119258,1.0,3.0,1.0,0.15,7.6499999999999995,0.5600025487046494,1.0
BRCA1,low_plausibility,raw_logit,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
BRCA1,low_plausibility,adjusted_logit,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
BRCA1,low_plausibility,probability,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
BRCA1,context_background,raw_logit,3,300,303,0.9511111111111111,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,20.2,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,10.1,0.2836929289153804,1.0
BRCA1,context_background,adjusted_logit,3,300,303,0.9511111111111111,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,20.2,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,10.1,0.2836929289153804,1.0
BRCA1,context_background,probability,3,300,303,0.9511111111111111,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,20.2,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,10.1,0.2836929289153804,1.0
BRCA1,all_U,raw_logit,3,450,453,0.9674074074074074,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,30.200000000000003,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,15.100000000000001,0.2836929289153804,1.0
BRCA1,all_U,adjusted_logit,3,450,453,0.9674074074074074,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,30.200000000000003,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,15.100000000000001,0.2836929289153804,1.0
BRCA1,all_U,probability,3,450,453,0.9674074074074074,0.13958333333333334,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,30.200000000000003,0.2836929289153804,1.0,2.0,0.6666666666666666,0.1,15.100000000000001,0.2836929289153804,1.0
KRAS,context,raw_logit,3,150,153,0.9511111111111111,0.21031746031746032,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,3.0,1.0,0.15,7.6499999999999995,0.4353170662471862,1.0
KRAS,context,adjusted_logit,3,150,153,0.9511111111111111,0.21031746031746032,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,3.0,1.0,0.15,7.6499999999999995,0.4353170662471862,1.0
KRAS,context,probability,3,150,153,0.9511111111111111,0.21031746031746032,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.3152014104491349,1.0,3.0,1.0,0.15,7.6499999999999995,0.4353170662471862,1.0
