target,replacement_query,model,candidate_set,actual_query,rank_spearman_to_actual,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
CTNNB1,EGFR,tuna_retrained,background,False,-0.21576668945089997,3,150,153,0.5111111111111111,0.04574314574314574,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.1309019901681972,1.0
CTNNB1,BCL2,tuna_retrained,background,False,-0.49692747912562146,3,150,153,0.4533333333333333,0.0251198549320615,54,54,54.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KEAP1,tuna_retrained,background,False,0.576685698202726,3,150,153,0.5466666666666666,0.029480564155486756,30,30,30.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BRCA1,tuna_retrained,background,False,0.7031649980566388,3,150,153,0.3844444444444444,0.02224739241506824,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KRAS,tuna_retrained,background,False,0.7928812673394716,3,150,153,0.5711111111111111,0.05976767676767677,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.1480409554829326,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.1480409554829326,1.0
CTNNB1,CDK2,tuna_retrained,background,False,0.7988051680002145,3,150,153,0.4488888888888889,0.022925112133083517,75,75,75.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,HIF1A,tuna_retrained,background,False,0.6468008255933951,3,150,153,0.4866666666666667,0.027786781190071035,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,CTNNB1,tuna_retrained,background,True,1.0,3,150,153,0.6311111111111111,0.06782106782106781,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.15642624200758548,1.0
CTNNB1,TNFRSF1A,tuna_retrained,background,False,-0.5115864527629232,3,150,153,0.48444444444444446,0.027625379131271756,29,29,29.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BECN1,tuna_retrained,background,False,0.7943689437497486,3,150,153,0.45555555555555555,0.09679781420765027,4,4,4.0,0.25,1.0,0.3333333333333333,0.2,10.200000000000001,0.20210734650054757,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.20210734650054757,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.20210734650054757,1.0
CTNNB1,ERN1,tuna_retrained,low_plausibility,False,-0.018100062991703858,3,150,153,0.49777777777777776,0.04227798345445404,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.12325583919272352,1.0
CTNNB1,TP53,tuna_retrained,low_plausibility,False,0.7585306850012732,3,150,153,0.7133333333333334,0.1361737677527151,3,3,3.0,0.3333333333333333,1.0,0.3333333333333333,0.2,10.200000000000001,0.23463936301137822,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.23463936301137822,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.23463936301137822,1.0
CTNNB1,EGFR,tuna_retrained,low_plausibility,False,0.3172201895112111,3,150,153,0.4177777777777778,0.035368055555555555,15,15,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11731968150568911,1.0
CTNNB1,BCL2,tuna_retrained,low_plausibility,False,-0.06679466044791121,3,150,153,0.36666666666666664,0.020730061025725045,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KEAP1,tuna_retrained,low_plausibility,False,0.6675043223030839,3,150,153,0.54,0.02754665506521286,39,39,39.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BRCA1,tuna_retrained,low_plausibility,False,0.7475037862034765,3,150,153,0.5577777777777778,0.08336994804198486,5,5,5.0,0.2,1.0,0.3333333333333333,0.2,10.200000000000001,0.18154179253735267,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.18154179253735267,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.18154179253735267,1.0
CTNNB1,KRAS,tuna_retrained,low_plausibility,False,0.7849503437738731,3,150,153,0.7266666666666667,0.3730703259005146,1,1,1.0,1.0,1.0,0.3333333333333333,0.2,10.200000000000001,0.46927872602275644,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.46927872602275644,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.46927872602275644,1.0
CTNNB1,CDK2,tuna_retrained,low_plausibility,False,0.8105993593609692,3,150,153,0.6711111111111111,0.03829212607194565,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,HIF1A,tuna_retrained,low_plausibility,False,0.6588831704930777,3,150,153,0.6733333333333333,0.061197646244375216,10,10,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.13565197343244778,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.13565197343244778,1.0
CTNNB1,CTNNB1,tuna_retrained,low_plausibility,True,1.0,3,150,153,0.8244444444444444,0.20686868686868684,2,2,2.0,0.5,1.0,0.3333333333333333,0.2,10.200000000000001,0.2960819109658652,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.2960819109658652,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.2960819109658652,1.0
CTNNB1,TNFRSF1A,tuna_retrained,low_plausibility,False,-0.027073030169005398,3,150,153,0.3377777777777778,0.02350530729533192,29,29,29.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BECN1,tuna_retrained,low_plausibility,False,0.723164864031737,3,150,153,0.4911111111111111,0.34751461988304094,1,1,1.0,1.0,1.0,0.3333333333333333,0.2,10.200000000000001,0.46927872602275644,1.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.46927872602275644,1.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.46927872602275644,1.0
CTNNB1,ERN1,tuna_retrained,context_background,False,-0.4200345792683137,3,300,303,0.55,0.028769749130573872,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,5.05,0.11047239495909743,1.0
CTNNB1,TP53,tuna_retrained,context_background,False,0.8195303845476913,3,300,303,0.5422222222222223,0.022874459415897434,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,EGFR,tuna_retrained,context_background,False,-0.12087904503242237,3,300,303,0.5211111111111111,0.023857970861300492,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BCL2,tuna_retrained,context_background,False,-0.4696594528745311,3,300,303,0.4722222222222222,0.01336986185672584,97,97,97.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KEAP1,tuna_retrained,context_background,False,0.6661452743392149,3,300,303,0.5744444444444444,0.01532356298654197,65,65,65.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BRCA1,tuna_retrained,context_background,False,0.7395520224730733,3,300,303,0.38222222222222224,0.011018826135105204,80,80,80.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,KRAS,tuna_retrained,context_background,False,0.809289899885771,3,300,303,0.5644444444444444,0.027601281633539695,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,5.05,0.11047239495909743,1.0
CTNNB1,CDK2,tuna_retrained,context_background,False,0.8287976802211415,3,300,303,0.4577777777777778,0.011782503581620522,146,146,146.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,HIF1A,tuna_retrained,context_background,False,0.6995360959937051,3,300,303,0.49,0.013893580284592921,58,58,58.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,CTNNB1,tuna_retrained,context_background,True,0.9999999999999999,3,300,303,0.6166666666666667,0.02459453576609104,23,23,23.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,TNFRSF1A,tuna_retrained,context_background,False,-0.49528891979473305,3,300,303,0.48333333333333334,0.013931433522076795,57,57,57.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,BECN1,tuna_retrained,context_background,False,0.8146454589690408,3,300,303,0.4666666666666667,0.04862898378182794,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,10.1,0.1480409554829326,1.0,1.0,0.3333333333333333,0.05,5.05,0.1480409554829326,1.0
CTNNB1,ERN1,tuna_retrained,all_U,False,-0.37498880154163083,3,450,453,0.5325925925925926,0.017494050326961223,30,30,30.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,TP53,tuna_retrained,all_U,False,0.8376174482695767,3,450,453,0.5992592592592593,0.019661046948980042,25,25,25.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
