target,candidate_set,diagnostic,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
EGFR,all_U,partner_positive_degree_fraction,3,450,453,0.48,0.007481296758104738,71,399,153.0,0.0076814050834063145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,context,partner_training_seen,3,150,153,0.36333333333333334,0.0196078431372549,42,151,69.25,0.015747833864592126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,context,partner_positive_degree,3,150,153,0.36333333333333334,0.0196078431372549,42,151,69.25,0.015747833864592126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,context,partner_positive_degree_fraction,3,150,153,0.4666666666666667,0.021739130434782608,26,136,53.5,0.021744647330116877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,background,partner_training_seen,3,150,153,0.42,0.0196078431372549,25,151,56.5,0.02118691865143119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,background,partner_positive_degree,3,150,153,0.42333333333333334,0.0196078431372549,24,151,55.75,0.021659528221013517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,background,partner_positive_degree_fraction,3,150,153,0.48333333333333334,0.020689655172413793,14,143,46.25,0.02933751676115104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.05303030303030303,0.007954545454545454,0.40568181818181814,0.0179699452987988,0.15189772060001072
BCL2,low_plausibility,partner_training_seen,3,150,153,0.44333333333333336,0.0196078431372549,18,151,51.25,0.025174709233247588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661764705882353,0.022058823529411766,0.0033088235294117647,0.16875,0.007188839830630615,0.06519851721783243
BCL2,low_plausibility,partner_positive_degree,3,150,153,0.44666666666666666,0.0196078431372549,17,151,50.5,0.025911544711609294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08759124087591241,0.029197080291970805,0.004379562043795621,0.22335766423357667,0.009600721776293186,0.08566862268021569
BCL2,low_plausibility,partner_positive_degree_fraction,3,150,153,0.49333333333333335,0.02040816326530612,9,145,43.0,0.03578872301759294,0.0,0.0,0.0,0.0,0.0,0.0,0.04316546762589928,0.014388489208633094,0.004316546762589928,0.22014388489208633,0.005976667905588708,0.04285267438223328,0.2589928057553957,0.08633093525179857,0.012949640287769784,0.660431654676259,0.03126413062516701,0.23885074739319945
BCL2,context_background,partner_training_seen,3,300,303,0.39166666666666666,0.009900990099009901,66,301,124.75,0.009066196984390396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,context_background,partner_positive_degree,3,300,303,0.3933333333333333,0.009900990099009901,65,301,124.0,0.009145507675606597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,context_background,partner_positive_degree_fraction,3,300,303,0.475,0.010714285714285714,39,278,98.75,0.012529269235333245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,all_U,partner_training_seen,3,450,453,0.4088888888888889,0.006622516556291391,83,451,175.0,0.006669920837088878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,all_U,partner_positive_degree,3,450,453,0.4111111111111111,0.006622516556291391,81,451,173.5,0.006759770064223362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,all_U,partner_positive_degree_fraction,3,450,453,0.4811111111111111,0.007075471698113208,47,422,140.75,0.009264968491547045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEAP1,context,partner_training_seen,3,150,153,0.62,0.0267379679144385,1,65,22.333333333333332,0.11613621643821223,0.15151515151515152,0.050505050505050504,0.030303030303030304,1.5454545454545454,0.04192876178902728,0.14685314685314688,0.30303030303030304,0.10101010101010101,0.030303030303030304,1.5454545454545454,0.06461199205414841,0.28205128205128216,0.6060606060606061,0.20202020202020202,0.030303030303030304,1.5454545454545454,0.10011661142810178,0.5174825174825177
KEAP1,context,partner_positive_degree,3,150,153,0.7577777777777778,0.3954248366013071,2,2,2.0,0.5,2.0,0.6666666666666666,0.4,20.400000000000002,0.5307212739772434,1.0,2.0,0.6666666666666666,0.2,10.200000000000001,0.5307212739772434,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.5307212739772434,1.0
