target,model,candidate_set,actual_P_vs_U,actual_AP,mean_replacement_P_vs_U,mean_replacement_AP,mean_replacement_rank_spearman,query_specific_P_vs_U_lift,query_specific_AP_lift,replacement_consensus_P_vs_U,replacement_consensus_AP,replacement_consensus_recovered_P_at_10
TNFRSF1A,tuna_original,low_plausibility,0.98,0.4444444444444444,0.6,0.11695880114011321,0.33046550503629024,0.38,0.3274856433043312,0.6777777777777778,0.1334157141386057,1.0
TNFRSF1A,tuna_original,context_background,0.5622222222222222,0.014448141259071021,0.6025252525252526,0.02096113033647441,-0.10645478471210455,-0.040303030303030396,-0.006512989077403388,0.7355555555555555,0.06946859903381643,1.0
TNFRSF1A,tuna_original,all_U,0.7014814814814815,0.014140054701801175,0.6016835016835017,0.015189788042099812,0.022379718521095507,0.09979797979797977,-0.001049733340298637,0.7229629629629629,0.056500846823427466,1.0
BECN1,tuna_original,context,0.8133333333333334,0.6781609195402298,0.5038383838383839,0.05143973473114105,0.16020204071597624,0.3094949494949495,0.6267211848090888,0.49777777777777776,0.033974607145338856,0.0
BECN1,tuna_original,background,0.7688888888888888,0.30970873786407765,0.48727272727272736,0.050176137482004494,0.08409026942660493,0.2816161616161615,0.25953260038207315,0.45111111111111113,0.027590515000586943,0.0
BECN1,tuna_original,low_plausibility,0.8111111111111111,0.678030303030303,0.47959595959595963,0.0936418378648532,0.2612998222342438,0.3315151515151515,0.5843884651654498,0.4066666666666667,0.02104767568639112,0.0
BECN1,tuna_original,context_background,0.7911111111111111,0.3053475935828877,0.4955555555555555,0.025115788143053184,0.12241456747545941,0.29555555555555557,0.2802318054398345,0.4727777777777778,0.015674326414118894,0.0
BECN1,tuna_original,all_U,0.7977777777777778,0.30367647058823527,0.4902356902356902,0.020668210196353533,0.16775871947755017,0.3075420875420876,0.28300826039188176,0.4622222222222222,0.008612071078559014,0.0
ERN1,tuna_retrained,context,0.57375,0.2704905402347004,0.42875,0.021121742787196824,0.128743042442147,0.14499999999999996,0.2493687974475036,0.38,0.018959177764578696,0.0
ERN1,tuna_retrained,background,0.74125,0.2909296585767174,0.3359090909090909,0.023029163948762196,0.07542670558551429,0.4053409090909091,0.2679004946279552,0.2125,0.015292852440007075,0.0
ERN1,tuna_retrained,low_plausibility,0.85375,0.3497762741460221,0.26772727272727276,0.05047201659011166,0.3356902237919405,0.5860227272727272,0.2993042575559104,0.1075,0.013702948674817176,0.0
ERN1,tuna_retrained,context_background,0.6575,0.2637616400158356,0.3823295454545454,0.010147636028938754,0.024918852513870063,0.2751704545454546,0.2536140039868968,0.285625,0.008381331434095599,0.0
ERN1,tuna_retrained,all_U,0.7229166666666667,0.2620983755352065,0.3441287878787879,0.007045901085515096,0.02903186734737754,0.37878787878787873,0.25505247444969137,0.208125,0.005125136174140076,0.0
TP53,tuna_retrained,context,0.7555555555555555,0.050555131790829724,0.5721212121212121,0.04594859989099161,0.47152275438230956,0.1834343434343434,0.004606531899838118,0.6488888888888888,0.0361228362312667,0.0
TP53,tuna_retrained,background,0.8933333333333333,0.1259259259259259,0.6018181818181818,0.08538615530741264,0.3608032599729757,0.2915151515151515,0.04053977061851327,0.7222222222222222,0.04548092868988391,0.0
TP53,tuna_retrained,low_plausibility,0.9555555555555556,0.26111111111111107,0.5991919191919192,0.24942664135763468,0.4359239128448248,0.35636363636363644,0.011684469753476395,0.7022222222222222,0.041079716079716076,0.0
TP53,tuna_retrained,context_background,0.8244444444444444,0.036630036630036625,0.5869696969696969,0.030340032965543086,0.40072750739695784,0.2374747474747475,0.006290003664493539,0.6894444444444444,0.02075305838400117,0.0
TP53,tuna_retrained,all_U,0.8681481481481481,0.033022030651340996,0.591043771043771,0.02733183388033127,0.379871481950174,0.2771043771043771,0.005690196771009726,0.7222222222222222,0.01536454989466075,0.0
EGFR,tuna_retrained,context,0.7777777777777778,0.07676256972031618,0.6593939393939393,0.061290729527787,0.4694021149129508,0.11838383838383848,0.015471840192529188,0.6844444444444444,0.09625559625559625,1.0
EGFR,tuna_retrained,background,0.68,0.05434721872991925,0.695959595959596,0.11636027941996,0.12869984879554258,-0.01595959595959595,-0.06201306069004074,0.7755555555555556,0.1606382978723404,2.0
EGFR,tuna_retrained,low_plausibility,0.7933333333333333,0.09109730848861282,0.6915151515151514,0.09869081008280801,0.4708733428125491,0.10181818181818192,-0.0075935015941951955,0.7266666666666667,0.10925925925925925,1.0
EGFR,tuna_retrained,context_background,0.7288888888888889,0.03298368298368298,0.6776767676767678,0.04084656971677301,0.2509216981300779,0.05121212121212115,-0.007862886733090026,0.7333333333333333,0.06944444444444445,0.0
EGFR,tuna_retrained,all_U,0.7503703703703704,0.024901455134013272,0.6822895622895622,0.02946342705711731,0.3076138649976057,0.06808080808080819,-0.004561971923104039,0.7288888888888889,0.04149245777996392,0.0
BCL2,tuna_retrained,context,0.8844444444444445,0.15108225108225107,0.5496969696969697,0.03443190148231547,0.34692132616421945,0.3347474747474748,0.11665034959993559,0.5777777777777777,0.029306709289150027,0.0
BCL2,tuna_retrained,background,0.8333333333333334,0.08508403361344537,0.563030303030303,0.031186943152856136,-0.0002680498036535452,0.2703030303030304,0.05389709046058923,0.64,0.03436325072823432,0.0
BCL2,tuna_retrained,low_plausibility,0.7977777777777778,0.08486312399355876,0.7478787878787879,0.07400291837668728,0.2192409804287091,0.04989898989898989,0.010860205616871482,0.8333333333333334,0.07156465825196476,0.0
BCL2,tuna_retrained,context_background,0.8588888888888889,0.05629629629629629,0.5563636363636363,0.016291331370431202,0.1538711164598509,0.30252525252525264,0.04000496492586508,0.6111111111111112,0.016136124785085998,0.0
BCL2,tuna_retrained,all_U,0.8385185185185186,0.0350160980242281,0.6202020202020202,0.012589313585332447,0.08438185366482444,0.21831649831649835,0.022426784438895654,0.7044444444444444,0.014164788571880443,0.0
KEAP1,tuna_retrained,context,0.36666666666666664,0.019984040523193282,0.5068686868686869,0.0286850606300442,0.3326967150496562,-0.14020202020202027,-0.008701020106850917,0.5522222222222222,0.027579365079365075,0.0
KEAP1,tuna_retrained,background,0.5355555555555556,0.027298098726670154,0.5694949494949495,0.03992605317651918,0.29176855605225993,-0.033939393939393936,-0.012627954449849023,0.6911111111111111,0.03954248366013072,0.0
