cohort,model,positive_subset,candidate_set,planned_targets,targets,omitted_targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,tuna_retrained,exclude_any_model_prior_pairs,all_U,12,11,BCL2,30,5080,0.74118395746715,0.06752612210917454,0.16543573562262998,54.36363636363637,2.0,2.0,0.053030303030303025,0.03636363636363637,5.486363636363637,0.05386249059024084,0.18181818181818182,5.0,5.0,0.14393939393939392,0.045454545454545456,6.849242424242425,0.09484916185220289,0.45454545454545453,6.0,6.0,0.18939393939393942,0.02727272727272727,4.42689393939394,0.10753965038536202,0.5454545454545454
all_twelve,tuna_original,exclude_any_model_prior_pairs,all_U,12,11,BCL2,30,5080,0.7659216344479465,0.16037773455833257,0.29803616304811514,62.18181818181818,5.0,3.0,0.14393939393939392,0.09090909090909091,13.72272727272727,0.16423283686734844,0.2727272727272727,7.0,4.0,0.20454545454545456,0.06363636363636364,9.606818181818182,0.19002310313238302,0.36363636363636365,8.0,5.0,0.23484848484848483,0.03636363636363637,5.489772727272728,0.1997359035198185,0.45454545454545453
all_twelve,tuna_retrained,exclude_any_model_prior_pairs_and_homomers,all_U,12,11,BCL2,29,5080,0.7327861226920198,0.044621118471005757,0.07530364549053982,64.9090909090909,1.0,1.0,0.0303030303030303,0.018181818181818184,2.7454545454545456,0.018373395136413416,0.09090909090909091,4.0,4.0,0.1212121212121212,0.03636363636363637,5.478787878787879,0.059360066398375474,0.36363636363636365,5.0,5.0,0.16666666666666666,0.022727272727272728,3.741666666666667,0.07205055493153462,0.45454545454545453
all_twelve,tuna_original,exclude_any_model_prior_pairs_and_homomers,all_U,12,11,BCL2,29,5080,0.7601291520277513,0.13747075194913247,0.20800119801315003,71.54545454545455,4.0,2.0,0.1212121212121212,0.07272727272727274,10.981818181818182,0.128743741413521,0.18181818181818182,6.0,3.0,0.18181818181818182,0.05454545454545456,8.236363636363636,0.15453400767855557,0.2727272727272727,7.0,4.0,0.2121212121212121,0.031818181818181815,4.804545454545455,0.16424680806599104,0.36363636363636365
strict_evidence_eleven,tuna_retrained,all_P,all_U,11,11,,34,5100,0.7830260942760944,0.11348727600777696,0.2553341538635656,24.363636363636363,4.0,3.0,0.11363636363636363,0.07272727272727274,10.981818181818182,0.1148975880923594,0.2727272727272727,7.0,6.0,0.20454545454545456,0.06363636363636363,9.60909090909091,0.15588425935432146,0.5454545454545454,7.0,6.0,0.20454545454545456,0.031818181818181815,4.804545454545455,0.15588425935432146,0.5454545454545454
strict_evidence_eleven,tuna_original,all_P,all_U,11,11,,34,5100,0.786557239057239,0.12149055462047946,0.2861096038952627,27.363636363636363,5.0,4.0,0.14393939393939392,0.09090909090909091,13.727272727272727,0.14290198568449586,0.36363636363636365,7.0,5.0,0.20454545454545456,0.06363636363636363,9.60909090909091,0.16869225194953044,0.45454545454545453,8.0,6.0,0.23484848484848483,0.03636363636363637,5.490909090909091,0.1784050523369659,0.5454545454545454
strict_evidence_eleven,tuna_retrained,exclude_development_P,all_U,11,11,,33,5100,0.7721506734006734,0.11321104120997903,0.2549962831781014,37.0,4.0,3.0,0.11363636363636363,0.07272727272727274,10.981818181818182,0.1148975880923594,0.2727272727272727,7.0,6.0,0.20454545454545456,0.06363636363636363,9.60909090909091,0.15588425935432146,0.5454545454545454,7.0,6.0,0.20454545454545456,0.031818181818181815,4.804545454545455,0.15588425935432146,0.5454545454545454
strict_evidence_eleven,tuna_original,exclude_development_P,all_U,11,11,,33,5100,0.7750084175084175,0.11129076471454047,0.25642923859845906,40.36363636363637,4.0,3.0,0.11363636363636363,0.07272727272727274,10.981818181818182,0.12157113450164327,0.2727272727272727,6.0,4.0,0.17424242424242423,0.05454545454545456,8.236363636363636,0.14736140076667786,0.36363636363636365,7.0,5.0,0.20454545454545456,0.031818181818181815,4.804545454545455,0.15707420115411333,0.45454545454545453
strict_evidence_eleven,tuna_retrained,exclude_development_P_and_homomers,all_U,11,11,,32,5100,0.7637542087542087,0.09030603508231701,0.16486419304601121,47.54545454545455,3.0,2.0,0.09090909090909091,0.05454545454545456,8.236363636363636,0.07940849263853197,0.18181818181818182,6.0,5.0,0.18181818181818182,0.05454545454545456,8.236363636363636,0.12039516390049404,0.45454545454545453,6.0,5.0,0.18181818181818182,0.02727272727272728,4.118181818181818,0.12039516390049404,0.45454545454545453
strict_evidence_eleven,tuna_original,exclude_development_P_and_homomers,all_U,11,11,,32,5100,0.7692255892255893,0.08838378210534041,0.16639427356349398,49.72727272727273,3.0,2.0,0.09090909090909091,0.05454545454545456,8.236363636363636,0.08608203904781585,0.18181818181818182,5.0,3.0,0.1515151515151515,0.045454545454545456,6.863636363636363,0.11187230531285045,0.2727272727272727,6.0,4.0,0.18181818181818182,0.02727272727272728,4.118181818181818,0.12158510570028591,0.36363636363636365
strict_evidence_eleven,tuna_retrained,exclude_prior_train_development_P,all_U,11,11,,31,5100,0.7454840067340068,0.06776099620547858,0.16454173772355593,55.09090909090909,2.0,2.0,0.053030303030303025,0.03636363636363637,5.490909090909091,0.05386249059024084,0.18181818181818182,5.0,5.0,0.14393939393939392,0.045454545454545456,6.863636363636363,0.09484916185220289,0.45454545454545453,5.0,5.0,0.14393939393939392,0.022727272727272728,3.4318181818181817,0.09484916185220289,0.45454545454545453
strict_evidence_eleven,tuna_original,exclude_prior_train_development_P,all_U,11,11,,31,5100,0.7390488215488216,0.08402051317958305,0.21131139348061392,64.72727272727273,2.0,2.0,0.053030303030303025,0.03636363636363637,5.490909090909091,0.07815079781953256,0.18181818181818182,4.0,3.0,0.11363636363636363,0.03636363636363637,5.490909090909091,0.10394106408456714,0.2727272727272727,5.0,4.0,0.14393939393939392,0.022727272727272728,3.4318181818181817,0.11365386447200261,0.36363636363636365
strict_evidence_eleven,tuna_retrained,exclude_prior_train_development_P_and_homomers,all_U,11,11,,30,5100,0.7370875420875421,0.04485599007781655,0.07440964759146577,65.63636363636364,1.0,1.0,0.0303030303030303,0.018181818181818184,2.7454545454545456,0.018373395136413416,0.09090909090909091,4.0,4.0,0.1212121212121212,0.03636363636363637,5.490909090909091,0.059360066398375474,0.36363636363636365,4.0,4.0,0.1212121212121212,0.018181818181818184,2.7454545454545456,0.059360066398375474,0.36363636363636365
strict_evidence_eleven,tuna_original,exclude_prior_train_development_P_and_homomers,all_U,11,11,,30,5100,0.7332659932659933,0.06111353057038298,0.12127642844564886,74.0909090909091,1.0,1.0,0.0303030303030303,0.018181818181818184,2.7454545454545456,0.04266170236570513,0.09090909090909091,3.0,2.0,0.09090909090909091,0.02727272727272728,4.118181818181818,0.06845196863073971,0.18181818181818182,4.0,3.0,0.1212121212121212,0.018181818181818184,2.7454545454545456,0.07816476901817518,0.2727272727272727
