target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
BCL2,background,ipin_baseline,P_vs_U_concordance,0.7311111111111112,0.9533333333333334,-0.2222222222222222,-0.018518518518518517
KEAP1,background,ipin_baseline,P_vs_U_concordance,0.74,0.6355555555555555,0.10444444444444445,0.008703703703703705
BRCA1,background,ipin_baseline,P_vs_U_concordance,0.9688888888888889,0.7355555555555555,0.2333333333333334,0.019444444444444448
KRAS,background,ipin_baseline,P_vs_U_concordance,0.9288888888888889,0.7622222222222222,0.16666666666666663,0.013888888888888886
CDK2,background,ipin_baseline,P_vs_U_concordance,0.66,0.7422222222222222,-0.0822222222222222,-0.006851851851851849
HIF1A,background,ipin_baseline,P_vs_U_concordance,0.8022222222222222,0.7866666666666666,0.015555555555555545,0.0012962962962962954
CTNNB1,background,ipin_baseline,P_vs_U_concordance,0.7022222222222222,0.9044444444444445,-0.2022222222222223,-0.016851851851851857
TNFRSF1A,background,ipin_baseline,P_vs_U_concordance,0.64,0.6444444444444445,-0.004444444444444473,-0.00037037037037037274
BECN1,background,ipin_baseline,P_vs_U_concordance,0.7688888888888888,0.7577777777777778,0.011111111111111072,0.0009259259259259226
ERN1,background,ipin_baseline,average_precision,0.30049130763416476,0.05840617715617715,0.2420851304779876,0.020173760873165632
TP53,background,ipin_baseline,average_precision,0.12831286360698124,0.030984934336075666,0.09732792927090558,0.008110660772575466
EGFR,background,ipin_baseline,average_precision,0.9166666666666666,0.03907998454057649,0.8775866821260901,0.07313222351050751
BCL2,background,ipin_baseline,average_precision,0.05818872485539152,0.26517273576097106,-0.20698401090557955,-0.017248667575464963
KEAP1,background,ipin_baseline,average_precision,0.36043956043956044,0.08667455154740784,0.2737650088921526,0.022813750741012717
BRCA1,background,ipin_baseline,average_precision,0.3547008547008547,0.0699169110459433,0.28478394365491144,0.023731995304575954
KRAS,background,ipin_baseline,average_precision,0.1582251082251082,0.05074786324786325,0.10747724497724497,0.00895643708143708
CDK2,background,ipin_baseline,average_precision,0.03647869827305311,0.060072695665916,-0.023593997392862887,-0.0019661664494052405
HIF1A,background,ipin_baseline,average_precision,0.37170645446507516,0.07685185185185185,0.2948546026132233,0.02457121688443528
CTNNB1,background,ipin_baseline,average_precision,0.04890147115756871,0.23696969696969694,-0.18806822581212823,-0.015672352151010687
TNFRSF1A,background,ipin_baseline,average_precision,0.0341687552213868,0.0514041514041514,-0.017235396182764602,-0.0014362830152303836
BECN1,background,ipin_baseline,average_precision,0.30970873786407765,0.25952380952380955,0.05018492834026811,0.004182077361689009
ERN1,background,ipin_optimized,P_vs_U_concordance,0.845,0.52,0.32499999999999996,0.02708333333333333
TP53,background,ipin_optimized,P_vs_U_concordance,0.8933333333333333,0.5555555555555556,0.33777777777777773,0.028148148148148144
EGFR,background,ipin_optimized,P_vs_U_concordance,0.9977777777777778,0.6,0.3977777777777778,0.03314814814814815
BCL2,background,ipin_optimized,P_vs_U_concordance,0.7311111111111112,0.9711111111111111,-0.24,-0.02
KEAP1,background,ipin_optimized,P_vs_U_concordance,0.74,0.7111111111111111,0.028888888888888853,0.0024074074074074046
BRCA1,background,ipin_optimized,P_vs_U_concordance,0.9688888888888889,0.8977777777777778,0.07111111111111112,0.005925925925925927
KRAS,background,ipin_optimized,P_vs_U_concordance,0.9288888888888889,0.9311111111111111,-0.0022222222222222365,-0.00018518518518518637
CDK2,background,ipin_optimized,P_vs_U_concordance,0.66,0.9022222222222223,-0.24222222222222223,-0.020185185185185184
HIF1A,background,ipin_optimized,P_vs_U_concordance,0.8022222222222222,0.6777777777777778,0.12444444444444436,0.010370370370370363
CTNNB1,background,ipin_optimized,P_vs_U_concordance,0.7022222222222222,0.6244444444444445,0.07777777777777772,0.006481481481481477
TNFRSF1A,background,ipin_optimized,P_vs_U_concordance,0.64,0.7933333333333333,-0.15333333333333332,-0.012777777777777777
BECN1,background,ipin_optimized,P_vs_U_concordance,0.7688888888888888,0.7866666666666666,-0.01777777777777778,-0.0014814814814814818
ERN1,background,ipin_optimized,average_precision,0.30049130763416476,0.045091070001141945,0.25540023763302283,0.021283353136085235
TP53,background,ipin_optimized,average_precision,0.12831286360698124,0.027825690437954756,0.10048717316902649,0.008373931097418874
EGFR,background,ipin_optimized,average_precision,0.9166666666666666,0.03125160078545206,0.8854150658812145,0.07378458882343454
BCL2,background,ipin_optimized,average_precision,0.05818872485539152,0.3055555555555555,-0.24736683070016402,-0.020613902558347
