omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
TNFRSF1A,background,ipin_baseline,P_vs_U_concordance,0.8216666666666668,0.7275757575757577,0.09409090909090909,11
BECN1,background,ipin_baseline,P_vs_U_concordance,0.8099494949494951,0.7172727272727273,0.09267676767676768,11
ERN1,background,ipin_baseline,average_precision,0.2524998086796113,0.11158174417220577,0.14091806450740554,11
TP53,background,ipin_baseline,average_precision,0.26815239450026435,0.11407458442857864,0.15407781007168572,11
EGFR,background,ipin_baseline,average_precision,0.19648386694938386,0.113338670773624,0.08314519617575987,11
BCL2,background,ipin_baseline,average_precision,0.27452731620495435,0.09278478429904267,0.1817425319059116,11
KEAP1,background,ipin_baseline,average_precision,0.24704996751548444,0.10901189195482117,0.13803807556066328,11
BRCA1,background,ipin_baseline,average_precision,0.24757166803718497,0.11053531381859066,0.13703635421859428,11
KRAS,background,ipin_baseline,average_precision,0.2654330995349801,0.11227795452750704,0.15315514500747304,11
CDK2,background,ipin_baseline,average_precision,0.2765009549851669,0.11143024248950223,0.16507071249566466,11
HIF1A,background,ipin_baseline,average_precision,0.24602570442225583,0.10990486465441716,0.13612083976783865,11
CTNNB1,background,ipin_baseline,average_precision,0.27537161199566546,0.09534869691643123,0.1800229150792342,11
TNFRSF1A,background,ipin_baseline,average_precision,0.2767109498080456,0.11221829196784446,0.16449265784020117,11
BECN1,background,ipin_baseline,average_precision,0.25166186047689193,0.09329832304787554,0.15836353742901638,11
ERN1,background,ipin_optimized,P_vs_U_concordance,0.8030303030303029,0.7682828282828282,0.03474747474747473,11
TP53,background,ipin_optimized,P_vs_U_concordance,0.7986363636363635,0.765050505050505,0.033585858585858566,11
EGFR,background,ipin_optimized,P_vs_U_concordance,0.7891414141414141,0.7610101010101009,0.028131313131313108,11
BCL2,background,ipin_optimized,P_vs_U_concordance,0.8133838383838383,0.7272727272727273,0.08611111111111108,11
KEAP1,background,ipin_optimized,P_vs_U_concordance,0.8125757575757575,0.7509090909090909,0.06166666666666665,11
BRCA1,background,ipin_optimized,P_vs_U_concordance,0.7917676767676767,0.7339393939393939,0.057828282828282805,11
KRAS,background,ipin_optimized,P_vs_U_concordance,0.7954040404040404,0.7309090909090908,0.06449494949494948,11
CDK2,background,ipin_optimized,P_vs_U_concordance,0.8198484848484848,0.7335353535353536,0.08631313131313129,11
HIF1A,background,ipin_optimized,P_vs_U_concordance,0.8069191919191919,0.7539393939393939,0.05297979797979797,11
CTNNB1,background,ipin_optimized,P_vs_U_concordance,0.816010101010101,0.7587878787878787,0.0572222222222222,11
TNFRSF1A,background,ipin_optimized,P_vs_U_concordance,0.8216666666666668,0.7434343434343433,0.07823232323232321,11
BECN1,background,ipin_optimized,P_vs_U_concordance,0.8099494949494951,0.7440404040404041,0.06590909090909089,11
ERN1,background,ipin_optimized,average_precision,0.2524998086796113,0.1685554559284715,0.0839443527511398,11
TP53,background,ipin_optimized,average_precision,0.26815239450026435,0.17012503588876124,0.09802735861150308,11
EGFR,background,ipin_optimized,average_precision,0.19648386694938386,0.1698135894935342,0.026670277455849635,11
BCL2,background,ipin_optimized,average_precision,0.27452731620495435,0.14487686633261573,0.1296504498723386,11
KEAP1,background,ipin_optimized,average_precision,0.24704996751548444,0.16008729511674546,0.08696267239873896,11
BRCA1,background,ipin_optimized,average_precision,0.24757166803718497,0.16150745796320734,0.08606421007397759,11
KRAS,background,ipin_optimized,average_precision,0.2654330995349801,0.15855531751106688,0.1068777820239132,11
CDK2,background,ipin_optimized,average_precision,0.2765009549851669,0.13255856133138388,0.143942393653783,11
HIF1A,background,ipin_optimized,average_precision,0.24602570442225583,0.163727173113957,0.08229853130829883,11
CTNNB1,background,ipin_optimized,average_precision,0.27537161199566546,0.16953837784103992,0.10583323415462557,11
TNFRSF1A,background,ipin_optimized,average_precision,0.2767109498080456,0.15342095382407164,0.123289995983974,11
BECN1,background,ipin_optimized,average_precision,0.25166186047689193,0.14643500086947367,0.10522685960741827,11
ERN1,background,tuna_retrained,P_vs_U_concordance,0.8030303030303029,0.7737373737373737,0.02929292929292929,11
TP53,background,tuna_retrained,P_vs_U_concordance,0.7986363636363635,0.7599116161616162,0.038724747474747474,11
EGFR,background,tuna_retrained,P_vs_U_concordance,0.7891414141414141,0.7793055555555555,0.009835858585858588,11
BCL2,background,tuna_retrained,P_vs_U_concordance,0.8133838383838383,0.7653661616161617,0.048017676767676765,11
KEAP1,background,tuna_retrained,P_vs_U_concordance,0.8125757575757575,0.7924368686868686,0.020138888888888887,11
BRCA1,background,tuna_retrained,P_vs_U_concordance,0.7917676767676767,0.7562752525252524,0.03549242424242424,11
KRAS,background,tuna_retrained,P_vs_U_concordance,0.7954040404040404,0.7566792929292929,0.038724747474747474,11
CDK2,background,tuna_retrained,P_vs_U_concordance,0.8198484848484848,0.7564772727272726,0.06337121212121212,11
HIF1A,background,tuna_retrained,P_vs_U_concordance,0.8069191919191919,0.7722348484848485,0.034684343434343436,11
CTNNB1,background,tuna_retrained,P_vs_U_concordance,0.816010101010101,0.78375,0.03226010101010101,11
TNFRSF1A,background,tuna_retrained,P_vs_U_concordance,0.8216666666666668,0.7900126262626262,0.0316540404040404,11
