snapshot,source_key,value
split.json,aggregate_metrics/opportunity_summaries/12/participating_component_count,505.0
split.json,aggregate_metrics/opportunity_summaries/12/participating_endpoint_count,842.0
split.json,aggregate_metrics/opportunity_summaries/12/released_positive_pair_count,2379.0
split.json,aggregate_metrics/opportunity_summaries/13/participating_component_count,192.0
split.json,aggregate_metrics/opportunity_summaries/13/participating_endpoint_count,305.0
split.json,aggregate_metrics/opportunity_summaries/13/released_positive_pair_count,510.0
split.json,aggregate_metrics/opportunity_summaries/14/participating_component_count,478.0
split.json,aggregate_metrics/opportunity_summaries/14/participating_endpoint_count,788.0
split.json,aggregate_metrics/opportunity_summaries/14/released_positive_pair_count,2110.0
split.json,aggregate_metrics/partition_degree_summaries/0/degree_mass_fraction,0.17207876104670192
split.json,aggregate_metrics/partition_degree_summaries/0/degree_q50,1.0
split.json,aggregate_metrics/partition_degree_summaries/0/degree_q90,20.0
split.json,aggregate_metrics/partition_degree_summaries/0/degree_q95,40.0
split.json,aggregate_metrics/partition_degree_summaries/0/degree_q99,96.0
split.json,aggregate_metrics/partition_degree_summaries/0/degree_sum,19978.0
split.json,aggregate_metrics/partition_degree_summaries/0/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/0/maximum_degree,341.0
split.json,aggregate_metrics/partition_degree_summaries/0/positive_exposed_endpoint_count,1431.0
split.json,aggregate_metrics/partition_degree_summaries/0/positive_pair_count_global,58049.0
split.json,aggregate_metrics/partition_degree_summaries/0/top_10_percent_global_hub_endpoint_count,301.0
split.json,aggregate_metrics/partition_degree_summaries/0/top_10_percent_global_hub_endpoint_fraction,0.17705882352941177
split.json,aggregate_metrics/partition_degree_summaries/0/top_1_percent_global_hub_endpoint_count,24.0
split.json,aggregate_metrics/partition_degree_summaries/0/top_1_percent_global_hub_endpoint_fraction,0.1411764705882353
split.json,aggregate_metrics/partition_degree_summaries/0/top_5_percent_global_hub_endpoint_count,149.0
split.json,aggregate_metrics/partition_degree_summaries/0/top_5_percent_global_hub_endpoint_fraction,0.17529411764705882
split.json,aggregate_metrics/partition_degree_summaries/1/degree_mass_fraction,0.19954666882538655
split.json,aggregate_metrics/partition_degree_summaries/1/degree_q50,0.0
split.json,aggregate_metrics/partition_degree_summaries/1/degree_q90,4.0
split.json,aggregate_metrics/partition_degree_summaries/1/degree_q95,9.0
split.json,aggregate_metrics/partition_degree_summaries/1/degree_q99,32.0
split.json,aggregate_metrics/partition_degree_summaries/1/degree_sum,4930.0
split.json,aggregate_metrics/partition_degree_summaries/1/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/1/maximum_degree,281.0
split.json,aggregate_metrics/partition_degree_summaries/1/positive_exposed_endpoint_count,693.0
split.json,aggregate_metrics/partition_degree_summaries/1/positive_pair_count_global,12353.0
split.json,aggregate_metrics/partition_degree_summaries/1/top_10_percent_global_hub_endpoint_count,332.0
split.json,aggregate_metrics/partition_degree_summaries/1/top_10_percent_global_hub_endpoint_fraction,0.1952941176470588
split.json,aggregate_metrics/partition_degree_summaries/1/top_1_percent_global_hub_endpoint_count,31.0
split.json,aggregate_metrics/partition_degree_summaries/1/top_1_percent_global_hub_endpoint_fraction,0.18235294117647058
split.json,aggregate_metrics/partition_degree_summaries/1/top_5_percent_global_hub_endpoint_count,175.0
split.json,aggregate_metrics/partition_degree_summaries/1/top_5_percent_global_hub_endpoint_fraction,0.20588235294117646
split.json,aggregate_metrics/partition_degree_summaries/2/degree_mass_fraction,0.1674250667721832
split.json,aggregate_metrics/partition_degree_summaries/2/degree_q50,1.0
split.json,aggregate_metrics/partition_degree_summaries/2/degree_q90,17.0
split.json,aggregate_metrics/partition_degree_summaries/2/degree_q95,36.0
split.json,aggregate_metrics/partition_degree_summaries/2/degree_q99,84.0
split.json,aggregate_metrics/partition_degree_summaries/2/degree_sum,16925.0
split.json,aggregate_metrics/partition_degree_summaries/2/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/2/maximum_degree,263.0
split.json,aggregate_metrics/partition_degree_summaries/2/positive_exposed_endpoint_count,1347.0
split.json,aggregate_metrics/partition_degree_summaries/2/positive_pair_count_global,50545.0
split.json,aggregate_metrics/partition_degree_summaries/2/top_10_percent_global_hub_endpoint_count,297.0
split.json,aggregate_metrics/partition_degree_summaries/2/top_10_percent_global_hub_endpoint_fraction,0.17470588235294118
split.json,aggregate_metrics/partition_degree_summaries/2/top_1_percent_global_hub_endpoint_count,25.0
split.json,aggregate_metrics/partition_degree_summaries/2/top_1_percent_global_hub_endpoint_fraction,0.14705882352941177
split.json,aggregate_metrics/partition_degree_summaries/2/top_5_percent_global_hub_endpoint_count,144.0
split.json,aggregate_metrics/partition_degree_summaries/2/top_5_percent_global_hub_endpoint_fraction,0.16941176470588235
split.json,aggregate_metrics/partition_degree_summaries/3/degree_mass_fraction,0.1941549380695619
split.json,aggregate_metrics/partition_degree_summaries/3/degree_q50,1.0
split.json,aggregate_metrics/partition_degree_summaries/3/degree_q90,22.0
split.json,aggregate_metrics/partition_degree_summaries/3/degree_q95,44.0
split.json,aggregate_metrics/partition_degree_summaries/3/degree_q99,119.0
split.json,aggregate_metrics/partition_degree_summaries/3/degree_sum,22541.0
split.json,aggregate_metrics/partition_degree_summaries/3/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/3/maximum_degree,508.0
split.json,aggregate_metrics/partition_degree_summaries/3/positive_exposed_endpoint_count,1358.0
split.json,aggregate_metrics/partition_degree_summaries/3/positive_pair_count_global,58049.0
split.json,aggregate_metrics/partition_degree_summaries/3/top_10_percent_global_hub_endpoint_count,322.0
split.json,aggregate_metrics/partition_degree_summaries/3/top_10_percent_global_hub_endpoint_fraction,0.18941176470588236
split.json,aggregate_metrics/partition_degree_summaries/3/top_1_percent_global_hub_endpoint_count,41.0
split.json,aggregate_metrics/partition_degree_summaries/3/top_1_percent_global_hub_endpoint_fraction,0.2411764705882353
split.json,aggregate_metrics/partition_degree_summaries/3/top_5_percent_global_hub_endpoint_count,168.0
split.json,aggregate_metrics/partition_degree_summaries/3/top_5_percent_global_hub_endpoint_fraction,0.1976470588235294
split.json,aggregate_metrics/partition_degree_summaries/4/degree_mass_fraction,0.19598478102485226
split.json,aggregate_metrics/partition_degree_summaries/4/degree_q50,0.0
split.json,aggregate_metrics/partition_degree_summaries/4/degree_q90,3.0
split.json,aggregate_metrics/partition_degree_summaries/4/degree_q95,8.0
split.json,aggregate_metrics/partition_degree_summaries/4/degree_q99,31.0
split.json,aggregate_metrics/partition_degree_summaries/4/degree_sum,4842.0
split.json,aggregate_metrics/partition_degree_summaries/4/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/4/maximum_degree,243.0
split.json,aggregate_metrics/partition_degree_summaries/4/positive_exposed_endpoint_count,614.0
split.json,aggregate_metrics/partition_degree_summaries/4/positive_pair_count_global,12353.0
split.json,aggregate_metrics/partition_degree_summaries/4/top_10_percent_global_hub_endpoint_count,284.0
split.json,aggregate_metrics/partition_degree_summaries/4/top_10_percent_global_hub_endpoint_fraction,0.16705882352941176
split.json,aggregate_metrics/partition_degree_summaries/4/top_1_percent_global_hub_endpoint_count,36.0
split.json,aggregate_metrics/partition_degree_summaries/4/top_1_percent_global_hub_endpoint_fraction,0.21176470588235294
split.json,aggregate_metrics/partition_degree_summaries/4/top_5_percent_global_hub_endpoint_count,153.0
split.json,aggregate_metrics/partition_degree_summaries/4/top_5_percent_global_hub_endpoint_fraction,0.18
split.json,aggregate_metrics/partition_degree_summaries/5/degree_mass_fraction,0.19464833316846375
split.json,aggregate_metrics/partition_degree_summaries/5/degree_q50,1.0
split.json,aggregate_metrics/partition_degree_summaries/5/degree_q90,20.0
split.json,aggregate_metrics/partition_degree_summaries/5/degree_q95,39.0
split.json,aggregate_metrics/partition_degree_summaries/5/degree_q99,103.0
split.json,aggregate_metrics/partition_degree_summaries/5/degree_sum,19677.0
split.json,aggregate_metrics/partition_degree_summaries/5/endpoint_count,2550.0
split.json,aggregate_metrics/partition_degree_summaries/5/maximum_degree,508.0
split.json,aggregate_metrics/partition_degree_summaries/5/positive_exposed_endpoint_count,1282.0
split.json,aggregate_metrics/partition_degree_summaries/5/positive_pair_count_global,50545.0
split.json,aggregate_metrics/partition_degree_summaries/5/top_10_percent_global_hub_endpoint_count,318.0
split.json,aggregate_metrics/partition_degree_summaries/5/top_10_percent_global_hub_endpoint_fraction,0.18705882352941178
split.json,aggregate_metrics/partition_degree_summaries/5/top_1_percent_global_hub_endpoint_count,39.0
split.json,aggregate_metrics/partition_degree_summaries/5/top_1_percent_global_hub_endpoint_fraction,0.22941176470588234
split.json,aggregate_metrics/partition_degree_summaries/5/top_5_percent_global_hub_endpoint_count,168.0
split.json,aggregate_metrics/partition_degree_summaries/5/top_5_percent_global_hub_endpoint_fraction,0.1976470588235294
split.json,aggregate_metrics/partition_degree_summaries/6/degree_mass_fraction,0.6337663008837362
split.json,aggregate_metrics/partition_degree_summaries/6/degree_q50,0.0
split.json,aggregate_metrics/partition_degree_summaries/6/degree_q90,15.0
split.json,aggregate_metrics/partition_degree_summaries/6/degree_q95,32.0
split.json,aggregate_metrics/partition_degree_summaries/6/degree_q99,90.0
split.json,aggregate_metrics/partition_degree_summaries/6/degree_sum,73579.0
split.json,aggregate_metrics/partition_degree_summaries/6/endpoint_count,11900.0
split.json,aggregate_metrics/partition_degree_summaries/6/maximum_degree,603.0
split.json,aggregate_metrics/partition_degree_summaries/6/positive_exposed_endpoint_count,5807.0
split.json,aggregate_metrics/partition_degree_summaries/6/positive_pair_count_global,58049.0
split.json,aggregate_metrics/partition_degree_summaries/6/top_10_percent_global_hub_endpoint_count,1077.0
split.json,aggregate_metrics/partition_degree_summaries/6/top_10_percent_global_hub_endpoint_fraction,0.6335294117647059
split.json,aggregate_metrics/partition_degree_summaries/6/top_1_percent_global_hub_endpoint_count,105.0
split.json,aggregate_metrics/partition_degree_summaries/6/top_1_percent_global_hub_endpoint_fraction,0.6176470588235294
split.json,aggregate_metrics/partition_degree_summaries/6/top_5_percent_global_hub_endpoint_count,533.0
split.json,aggregate_metrics/partition_degree_summaries/6/top_5_percent_global_hub_endpoint_fraction,0.6270588235294118
split.json,aggregate_metrics/partition_degree_summaries/7/degree_mass_fraction,0.6044685501497612
split.json,aggregate_metrics/partition_degree_summaries/7/degree_q50,0.0
split.json,aggregate_metrics/partition_degree_summaries/7/degree_q90,2.0
split.json,aggregate_metrics/partition_degree_summaries/7/degree_q95,5.0
split.json,aggregate_metrics/partition_degree_summaries/7/degree_q99,24.0
split.json,aggregate_metrics/partition_degree_summaries/7/degree_sum,14934.0
split.json,aggregate_metrics/partition_degree_summaries/7/endpoint_count,11900.0
split.json,aggregate_metrics/partition_degree_summaries/7/maximum_degree,215.0
split.json,aggregate_metrics/partition_degree_summaries/7/positive_exposed_endpoint_count,2662.0
split.json,aggregate_metrics/partition_degree_summaries/7/positive_pair_count_global,12353.0
split.json,aggregate_metrics/partition_degree_summaries/7/top_10_percent_global_hub_endpoint_count,1084.0
split.json,aggregate_metrics/partition_degree_summaries/7/top_10_percent_global_hub_endpoint_fraction,0.6376470588235295
split.json,aggregate_metrics/partition_degree_summaries/7/top_1_percent_global_hub_endpoint_count,103.0
split.json,aggregate_metrics/partition_degree_summaries/7/top_1_percent_global_hub_endpoint_fraction,0.6058823529411764
split.json,aggregate_metrics/partition_degree_summaries/7/top_5_percent_global_hub_endpoint_count,522.0
split.json,aggregate_metrics/partition_degree_summaries/7/top_5_percent_global_hub_endpoint_fraction,0.6141176470588235
split.json,aggregate_metrics/partition_degree_summaries/8/degree_mass_fraction,0.6379266000593531
split.json,aggregate_metrics/partition_degree_summaries/8/degree_q50,0.0
split.json,aggregate_metrics/partition_degree_summaries/8/degree_q90,13.0
split.json,aggregate_metrics/partition_degree_summaries/8/degree_q95,29.0
split.json,aggregate_metrics/partition_degree_summaries/8/degree_q99,80.0
split.json,aggregate_metrics/partition_degree_summaries/8/degree_sum,64488.0
split.json,aggregate_metrics/partition_degree_summaries/8/endpoint_count,11900.0
split.json,aggregate_metrics/partition_degree_summaries/8/maximum_degree,489.0
split.json,aggregate_metrics/partition_degree_summaries/8/positive_exposed_endpoint_count,5429.0
split.json,aggregate_metrics/partition_degree_summaries/8/positive_pair_count_global,50545.0
split.json,aggregate_metrics/partition_degree_summaries/8/top_10_percent_global_hub_endpoint_count,1085.0
split.json,aggregate_metrics/partition_degree_summaries/8/top_10_percent_global_hub_endpoint_fraction,0.638235294117647
split.json,aggregate_metrics/partition_degree_summaries/8/top_1_percent_global_hub_endpoint_count,106.0
split.json,aggregate_metrics/partition_degree_summaries/8/top_1_percent_global_hub_endpoint_fraction,0.6235294117647059
split.json,aggregate_metrics/partition_degree_summaries/8/top_5_percent_global_hub_endpoint_count,538.0
split.json,aggregate_metrics/partition_degree_summaries/8/top_5_percent_global_hub_endpoint_fraction,0.6329411764705882
split.json,aggregate_metrics/partition_summaries/0/absolute_target_fraction_deviation,0.0
split.json,aggregate_metrics/partition_summaries/0/component_count,5427.0
split.json,aggregate_metrics/partition_summaries/0/endpoint_count,11900.0
split.json,aggregate_metrics/partition_summaries/0/endpoint_fraction,0.7
split.json,aggregate_metrics/partition_summaries/0/internal_positive_pairs_all,23823.0
split.json,aggregate_metrics/partition_summaries/0/internal_positive_pairs_hi_ii_14,4590.0
split.json,aggregate_metrics/partition_summaries/0/internal_positive_pairs_huri,21066.0
split.json,aggregate_metrics/partition_summaries/0/largest_component_size,1624.0
split.json,aggregate_metrics/partition_summaries/0/positive_degree_mass_fraction_all,0.6337663008837362
split.json,aggregate_metrics/partition_summaries/0/positive_degree_sum_all,73579.0
split.json,aggregate_metrics/partition_summaries/0/positive_exposed_endpoint_count,5807.0
split.json,aggregate_metrics/partition_summaries/0/singleton_component_count,3992.0
split.json,aggregate_metrics/partition_summaries/0/target_endpoint_fraction,0.7
split.json,aggregate_metrics/partition_summaries/1/absolute_target_fraction_deviation,0.0
split.json,aggregate_metrics/partition_summaries/1/component_count,1071.0
split.json,aggregate_metrics/partition_summaries/1/endpoint_count,2550.0
split.json,aggregate_metrics/partition_summaries/1/endpoint_fraction,0.15
split.json,aggregate_metrics/partition_summaries/1/internal_positive_pairs_all,2265.0
split.json,aggregate_metrics/partition_summaries/1/internal_positive_pairs_hi_ii_14,588.0
split.json,aggregate_metrics/partition_summaries/1/internal_positive_pairs_huri,1953.0
split.json,aggregate_metrics/partition_summaries/1/largest_component_size,643.0
split.json,aggregate_metrics/partition_summaries/1/positive_degree_mass_fraction_all,0.17207876104670192
split.json,aggregate_metrics/partition_summaries/1/positive_degree_sum_all,19978.0
split.json,aggregate_metrics/partition_summaries/1/positive_exposed_endpoint_count,1431.0
split.json,aggregate_metrics/partition_summaries/1/singleton_component_count,796.0
split.json,aggregate_metrics/partition_summaries/1/target_endpoint_fraction,0.15
