row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
73,0.5919819474220276,-8.075934410095215,-8.866272926330566,-10.258779525756836,-9.066995620727539
74,0.5578846335411072,-8.26208209991455,-8.091728210449219,-10.504669189453125,-8.952826499938965
75,0.6966972947120667,-9.451469421386719,-11.053098678588867,-11.633283615112305,-10.71261723836263
76,0.6215780377388,-10.007047653198242,-9.88354206085205,-12.048894882202148,-10.64649486541748
77,0.6698858141899109,-10.173041343688965,-10.224957466125488,-10.191755294799805,-10.196584701538086
78,0.7262985706329346,-13.020108222961426,-8.555816650390625,-8.807732582092285,-10.127885818481445
79,0.7146298289299011,-7.734493732452393,-12.360111236572266,-10.16582202911377,-10.086808999379477
80,0.5890729427337646,-10.797359466552734,-10.308780670166016,-15.070023536682129,-12.058721224466959
81,0.4389967620372772,-13.170817375183105,-9.06245231628418,-10.466172218322754,-10.899813969930014
82,0.5722566843032837,-9.500664710998535,-13.166791915893555,-12.80506706237793,-11.824174563090006
83,0.697633683681488,-9.202580451965332,-9.039105415344238,-11.867281913757324,-10.036322593688965
84,0.4838463068008423,-12.735067367553711,-12.063570022583008,-10.917448043823242,-11.905361811319986
85,0.6286629438400269,-11.212239265441895,-12.535893440246582,-7.947664737701416,-10.565265814463297
86,0.4227394461631775,-11.90219783782959,-12.577103614807129,-11.896831512451172,-12.125377655029297
87,0.6103354692459106,-8.232969284057617,-7.610047340393066,-10.77534008026123,-8.872785568237305
88,0.21898607909679413,-12.577695846557617,-11.470253944396973,-11.94333553314209,-11.997095108032227
89,0.23629119992256165,-12.065433502197266,-10.422623634338379,-15.678458213806152,-12.722171783447266
90,0.7048879861831665,-8.858601570129395,-13.455801010131836,-11.54529857635498,-11.286567052205404
91,0.6052916646003723,-7.938358306884766,-6.058254241943359,-10.321738243103027,-8.106116930643717
92,0.2396032065153122,-12.988418579101562,-11.10024642944336,-14.326037406921387,-12.804900805155436
93,0.15809941291809082,-13.10203742980957,-13.17227840423584,-14.308672904968262,-13.527662913004557
94,0.7613234519958496,-11.672998428344727,-7.6589436531066895,-10.580034255981445,-9.970658779144287
