row_index,ipin_baseline_score,ipin_optimized_score
124,-2.2836466630299888,-2.650381644566854
125,-2.816334088643392,-3.496089458465576
126,-1.7200716336568196,-1.301567057768504
127,-2.953194538752238,-3.8119134108225503
128,-2.118327776590983,-3.0739298661549888
129,-2.189188520113627,-2.5807355642318726
130,-3.0060629844665527,-4.196265538533528
131,-2.9655898412068686,-2.654817978541056
132,-2.521970828374227,-3.0120763778686523
133,-2.3360164165496826,-2.439814885457357
134,-0.8905604283014933,-2.025779128074646
135,-2.4782901604970298,-3.3952506383260093
136,-2.4843488534291587,-3.3855230808258057
137,-2.8671651681264243,-4.146456400553386
138,-2.6889116764068604,-2.421168327331543
139,-2.9796880086263022,-3.3813520272572837
140,-2.6969483693440757,-3.3135849634806314
141,-1.9159406423568726,-1.3731199105580647
142,-1.2399139006932576,0.22323644161224365
143,-2.290989955266317,-1.5953495701154072
144,-2.025092879931132,-2.429859240849813
145,-1.3360790014266968,-2.1491117080052695
146,-2.620407819747925,-3.8275977770487466
147,-3.210874636967977,-3.711692730585734
148,-2.262568235397339,-2.5588149627049765
149,-3.7488444646199546,-5.5610965092976885
150,-0.04554210292796294,-1.0912197430928547
151,-2.5650413036346436,-2.566216826438904
152,-2.987737496693929,-4.439487298329671
153,-1.747919996579488,-3.0432441234588623
154,-3.1747748851776123,-2.347477078437805
155,-0.621943732102712,0.34263304869333905
156,-1.8436486721038818,-3.625003973642985
157,-2.078143835067749,-2.9244898557662964
158,-2.017295241355896,-1.092972457408905
159,-2.6536827882130942,-3.8224247296651206
160,-1.757004976272583,-1.7684068381786346
161,-2.4990413188934326,-1.324542760848999
162,-2.646748940149943,-2.241193970044454
163,-1.9797998269399006,-2.5436739524205527
164,-2.790897846221924,-3.1261748472849527
165,-1.7749641338984172,-2.475410540898641
166,-2.5767550468444824,-1.5347809791564941
167,-2.007699171702067,-1.5546165506045024
168,-3.692885398864746,-4.326226234436035
169,-1.7874168157577515,-2.5086268981297812
170,-2.8305348555246987,-3.3172276814778647
171,-2.6291982332865396,-2.3159612814585366
172,-2.608586152394613,-3.2112526098887124
173,-3.1703292528788247,-3.5546065171559653
174,-4.220532417297363,-6.347154935201009
175,-2.736174742380778,-3.436088800430298
176,-3.0228320757548013,-4.595163265864055
177,-1.7002879778544109,-2.45298178990682
178,-1.7125470638275146,-1.5694198608398438
179,-3.08657177289327,-3.8454723358154297
180,-3.1159857908884683,-4.303110440572103
181,-3.200441360473633,-3.109515428543091
182,-2.663460890452067,-3.4479920864105225
183,-2.1815427939097085,-3.849052349726359
184,-1.3578684727350872,-1.7873064676920574
185,-3.8376431465148926,-4.512433052062988
186,-2.8543261686960855,-4.871265093485515
187,-1.9299771785736084,-1.755707859992981
188,-1.942642609278361,-3.2261263529459634
189,-2.326784610748291,-1.633745551109314
190,-3.2623115380605063,-3.9113663832346597
191,-0.449388066927592,0.42043157418568927
192,-2.710020144780477,-2.7476700146993003
193,-2.347468852996826,-1.4437593221664429
194,-1.9228719075520833,-2.263017733891805
195,-1.2195045550664265,-1.4554917216300964
196,-2.8556346893310547,-2.42952028910319
