target,model,positive_subset,U_stratum,P,U,P_vs_U_concordance
KEAP1,tuna_original,exclude_development_P,context,2,150,0.5133333333333333
KEAP1,tuna_original,exclude_development_P,background,2,150,0.61
KEAP1,tuna_original,exclude_development_P_and_homomers,all_U,2,300,0.5616666666666666
KEAP1,tuna_original,exclude_development_P_and_homomers,context,2,150,0.5133333333333333
KEAP1,tuna_original,exclude_development_P_and_homomers,background,2,150,0.61
KEAP1,tuna_retrained,all_P,all_U,3,300,0.45111111111111113
KEAP1,tuna_retrained,all_P,context,3,150,0.36666666666666664
KEAP1,tuna_retrained,all_P,background,3,150,0.5355555555555556
KEAP1,tuna_retrained,exclude_development_P,all_U,2,300,0.3333333333333333
KEAP1,tuna_retrained,exclude_development_P,context,2,150,0.23666666666666666
KEAP1,tuna_retrained,exclude_development_P,background,2,150,0.43
KEAP1,tuna_retrained,exclude_development_P_and_homomers,all_U,2,300,0.3333333333333333
KEAP1,tuna_retrained,exclude_development_P_and_homomers,context,2,150,0.23666666666666666
KEAP1,tuna_retrained,exclude_development_P_and_homomers,background,2,150,0.43
BRCA1,ipin_baseline,all_P,all_U,3,300,0.6811111111111111
BRCA1,ipin_baseline,all_P,context,3,150,0.6266666666666667
BRCA1,ipin_baseline,all_P,background,3,150,0.7355555555555555
BRCA1,ipin_baseline,exclude_development_P,all_U,3,300,0.6811111111111111
BRCA1,ipin_baseline,exclude_development_P,context,3,150,0.6266666666666667
BRCA1,ipin_baseline,exclude_development_P,background,3,150,0.7355555555555555
BRCA1,ipin_baseline,exclude_development_P_and_homomers,all_U,3,300,0.6811111111111111
BRCA1,ipin_baseline,exclude_development_P_and_homomers,context,3,150,0.6266666666666667
BRCA1,ipin_baseline,exclude_development_P_and_homomers,background,3,150,0.7355555555555555
BRCA1,ipin_optimized,all_P,all_U,3,300,0.8566666666666667
BRCA1,ipin_optimized,all_P,context,3,150,0.8155555555555556
BRCA1,ipin_optimized,all_P,background,3,150,0.8977777777777778
BRCA1,ipin_optimized,exclude_development_P,all_U,3,300,0.8566666666666667
BRCA1,ipin_optimized,exclude_development_P,context,3,150,0.8155555555555556
BRCA1,ipin_optimized,exclude_development_P,background,3,150,0.8977777777777778
BRCA1,ipin_optimized,exclude_development_P_and_homomers,all_U,3,300,0.8566666666666667
BRCA1,ipin_optimized,exclude_development_P_and_homomers,context,3,150,0.8155555555555556
BRCA1,ipin_optimized,exclude_development_P_and_homomers,background,3,150,0.8977777777777778
BRCA1,tuna_original,all_P,all_U,3,300,0.9511111111111111
