target,cohort,model,anchors,context_n,background_n,context_mean,context_median,context_q25,context_q75,context_sd,background_mean,background_median,background_q25,background_q75,background_sd,mean_difference,median_difference,unstratified_A,unstratified_rank_biserial,KS_distance,anchor_matched_A,anchor_matched_rank_biserial,A_context_vs_nonmatching_background,top20_U_context_fraction,P_vs_context_concordance,P_vs_background_concordance
BCL2,original_six,ipin_optimized,3,150,150,-1.6949878254201678,-1.6762365301450093,-2.3640309770902,-1.0739429195721946,1.0167924859838073,-1.8632684500681032,-1.9376268982887268,-2.6242094238599143,-1.1702515768508117,1.2071274558178708,0.16828062464793536,0.2613903681437175,0.5496444444444445,0.09928888888888898,0.13333333333333333,0.5497333333333333,0.09946666666666659,0.5567789906660338,0.5,0.9733333333333334,0.9711111111111111
BCL2,original_six,tuna_retrained,3,150,150,-7.702608792632819,-7.996531089146933,-9.03088136514028,-6.456459204355875,1.8955329748645635,-7.367678664790258,-7.625752051671346,-8.935882250467936,-5.820631464322408,2.163889357690935,-0.3349301278425605,-0.3707790374755868,0.45924444444444446,-0.08151111111111109,0.1,0.45893333333333336,-0.08213333333333328,0.4529156778990666,0.3,0.8844444444444445,0.8333333333333334
KEAP1,original_six,ipin_baseline,3,150,150,-1.1715041912543689,-1.1865100065867107,-1.6423711478710175,-0.665842148164908,0.7760084519548175,-1.5694938843521393,-1.4992039998372397,-2.227790415287018,-0.8601718693971634,0.9780720936232253,0.39798969309777044,0.31269399325052905,0.6216444444444444,0.2432888888888889,0.24,0.6266666666666667,0.2533333333333334,0.6605682957393484,0.55,0.5177777777777778,0.6355555555555555
KEAP1,original_six,ipin_optimized,3,150,150,0.0016279824409220112,0.04491986334323883,-0.6153980816404024,0.556975285212199,0.913958790029589,-0.6546396953364213,-0.6450115541617075,-1.4910044570763905,0.3024294003844261,1.2653929827984773,0.6562676777773433,0.6899314175049464,0.6620888888888888,0.3241777777777777,0.29333333333333333,0.6593333333333332,0.31866666666666643,0.6790413533834586,0.55,0.5622222222222222,0.7111111111111111
KEAP1,original_six,tuna_retrained,3,150,150,-5.879736516740587,-5.817899107933044,-6.646437168121338,-5.015145520369211,1.279452488829265,-6.661442627112071,-6.558393955230713,-7.519936998685201,-5.491344710191091,1.5873752205677172,0.7817061103714842,0.7404948472976685,0.6436444444444445,0.2872888888888889,0.24666666666666667,0.6432,0.2864,0.6722164786967418,0.7,0.36666666666666664,0.5355555555555556
BRCA1,original_six,ipin_baseline,3,150,150,-1.7707911530571678,-1.7367370923360188,-2.2952372829119363,-1.202532172203064,0.8483579981107063,-2.1645975185765165,-2.138620694478353,-2.844349205493927,-1.5341855684916177,0.9379179911227996,0.39380636551934867,0.4018836021423342,0.63,0.26,0.22666666666666666,0.6312,0.26239999999999997,0.6815278372081967,0.55,0.6266666666666667,0.7355555555555555
BRCA1,original_six,ipin_optimized,3,150,150,-1.4948408823543125,-1.6003142893314362,-2.206676820913951,-0.8021234025557836,0.9314499702462704,-2.0122614404559136,-1.8223355611165366,-2.7477903763453164,-1.1957145631313324,1.2060110908768211,0.5174205581016011,0.22202127178510045,0.6214666666666666,0.24293333333333322,0.18,0.6205333333333333,0.24106666666666654,0.6588610754528598,0.65,0.8155555555555556,0.8977777777777778
BRCA1,original_six,tuna_retrained,3,150,150,-7.392168635262383,-7.289717197418213,-8.26738953590393,-6.5244550704956055,1.3483067339152681,-7.930840716362,-7.838244199752808,-9.125450293223063,-6.82975713411967,1.711778147140405,0.5386720810996168,0.5485270023345947,0.5991555555555556,0.1983111111111111,0.16666666666666666,0.592,0.18399999999999994,0.6478616935292161,0.5,0.9422222222222222,0.9333333333333333
KRAS,additional_six,ipin_baseline,3,150,150,-1.5921867634645765,-1.540287733078003,-2.0981403589248657,-1.0004238883654277,0.8446896292715768,-2.0940817844702138,-2.046000103155772,-2.754436711470286,-1.3601711293061576,1.0608223089997864,0.5018950210056372,0.5057123700777693,0.6419111111111111,0.2838222222222222,0.25333333333333335,0.6410666666666667,0.28213333333333335,0.6898989898989899,0.65,0.62,0.7622222222222222
KRAS,additional_six,ipin_optimized,3,150,150,-0.9708345387627679,-0.7621100793282192,-1.7315324743588765,-0.13550551732381186,1.1789655231289011,-1.8088626269665027,-1.9750803311665854,-2.7703105211257935,-0.873460166156292,1.4407859951433357,0.8380280882037348,1.2129702518383663,0.6857777777777778,0.37155555555555564,0.3466666666666667,0.6866666666666666,0.3733333333333333,0.7658585858585859,0.5,0.9022222222222223,0.9311111111111111
