target,model,candidate_set,K,P,panel_size,recovered_P,recall,target_success
ERN1,ipin_baseline,low_plausibility,25,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,26,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,27,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,28,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,29,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,30,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,31,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,32,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,33,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,34,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,35,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,36,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,37,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,38,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,39,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,40,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,41,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,42,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,43,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,44,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,45,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,46,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,47,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,48,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,49,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,low_plausibility,50,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,1,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,2,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,3,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,4,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,5,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,6,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,7,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,8,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,9,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,10,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,11,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,12,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,13,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,14,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,15,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,16,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,17,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,context_background,18,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,19,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,20,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,21,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,22,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,23,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,24,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,25,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,26,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,27,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,28,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,29,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,30,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,31,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,32,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,33,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,34,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,35,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,36,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,37,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,38,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,39,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,40,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,41,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,42,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,43,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,44,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,45,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,46,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,47,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,48,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,49,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,context_background,50,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,1,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,2,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,3,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,4,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,5,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,6,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,7,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,8,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,9,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,10,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,11,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,12,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,13,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,14,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,15,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,16,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,17,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,18,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,19,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,20,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,21,4,604,0.0,0.0,0.0
ERN1,ipin_baseline,all_U,22,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,23,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,24,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,25,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,26,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,27,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,28,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,29,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,30,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,31,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,32,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,33,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,34,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,35,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,36,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,37,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,38,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,39,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,40,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,41,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,42,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,43,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,44,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,45,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,46,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,47,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,48,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,49,4,604,1.0,0.25,1.0
ERN1,ipin_baseline,all_U,50,4,604,1.0,0.25,1.0
ERN1,ipin_optimized,context,1,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,context,2,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,context,3,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,context,4,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,context,5,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,context,6,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,7,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,8,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,9,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,10,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,11,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,12,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,13,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,14,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,15,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,16,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,17,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,18,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,19,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,20,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,21,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,22,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,23,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,24,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,25,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,26,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,27,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,28,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,29,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,30,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,31,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,32,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,33,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,34,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,35,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,36,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,37,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,38,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,39,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,40,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,41,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,42,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,43,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,44,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,45,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,46,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,47,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,48,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,49,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,context,50,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,1,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,2,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,3,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,4,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,5,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,6,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,7,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,8,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,background,9,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,10,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,11,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,12,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,13,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,14,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,15,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,16,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,17,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,18,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,19,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,20,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,21,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,22,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,23,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,24,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,25,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,26,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,27,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,28,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,29,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,30,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,31,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,32,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,33,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,34,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,35,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,36,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,37,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,38,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,39,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,40,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,41,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,42,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,43,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,44,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,45,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,46,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,47,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,48,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,49,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,background,50,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,1,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,low_plausibility,2,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,low_plausibility,3,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,low_plausibility,4,4,204,0.0,0.0,0.0
ERN1,ipin_optimized,low_plausibility,5,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,6,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,7,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,8,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,9,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,10,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,11,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,12,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,13,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,14,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,15,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,16,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,17,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,18,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,19,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,20,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,21,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,22,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,23,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,24,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,25,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,26,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,27,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,28,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,29,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,30,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,31,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,32,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,33,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,34,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,35,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,36,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,37,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,38,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,39,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,40,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,41,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,42,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,43,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,44,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,45,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,46,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,47,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,48,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,49,4,204,1.0,0.25,1.0
ERN1,ipin_optimized,low_plausibility,50,4,204,1.0,0.25,1.0
