target,model,group,n,mean,sd,q25,median,q75,min,max
EGFR,ipin_baseline,low_plausibility,150,-2.059323500759072,0.7755148277436369,-2.5576690435409546,-1.965212086836497,-1.5903943975766501,-5.093703587849935,-0.31998750070730847
EGFR,ipin_optimized,P,3,-2.101390706168281,0.19211688917820774,-2.2042063872019453,-2.13212513923645,-2.013942241668701,-2.27628763516744,-1.8957593441009521
EGFR,ipin_optimized,context,150,-2.421530418487059,1.2928658500061667,-3.1898653904596963,-2.597136418024699,-1.799104114373525,-6.107901891072591,3.498577435811361
EGFR,ipin_optimized,background,150,-2.413772400700384,1.233553909054357,-3.2333468198776245,-2.4774616956710815,-1.619794880350431,-5.088998953501384,2.8115498224894204
EGFR,ipin_optimized,low_plausibility,150,-2.5351307795776266,1.126033085210243,-3.2910606066385903,-2.64474888642629,-1.7416236301263173,-5.203205426534017,1.660366455713908
EGFR,tuna_retrained,P,3,-8.746729109022352,1.5518100089737745,-9.472300370534262,-8.561941464742025,-7.92876402537028,-10.382659276326498,-7.295586585998535
EGFR,tuna_retrained,context,150,-10.45243043952518,2.0409546776346534,-11.781037171681723,-10.526299794514975,-9.193563540776571,-15.096239725748697,-2.4911178747812905
EGFR,tuna_retrained,background,150,-9.766734171973333,1.7649085875390536,-10.874382495880127,-9.829443295796713,-8.422068277994791,-13.849109967549643,-3.4667460918426514
EGFR,tuna_retrained,low_plausibility,150,-10.577390305466123,1.9076223404436041,-11.841323137283325,-10.696937719980877,-9.536812504132588,-15.143317540486654,-2.7316227356592813
EGFR,tuna_original,P,3,0.8329369425773621,0.023096910696148224,0.8226921856403351,0.8374773859977722,0.8454519212245941,0.807906985282898,0.853426456451416
EGFR,tuna_original,context,150,0.37181123554706574,0.15904343693035514,0.2447129227221012,0.33696769177913666,0.4558572694659233,0.13664698600769043,0.8296605348587036
EGFR,tuna_original,background,150,0.44789656216899554,0.17895084033285055,0.287409171462059,0.45103009045124054,0.5931642800569534,0.10170934349298477,0.8128141760826111
EGFR,tuna_original,low_plausibility,150,0.27167040944099424,0.09265879085697235,0.19484105706214905,0.2533595710992813,0.3335086479783058,0.13219748437404633,0.5894465446472168
BCL2,ipin_baseline,P,3,-0.8191495177646478,0.5451768850930211,-1.1228045721848805,-0.9792822400728861,-0.5955608244985342,-1.266326904296875,-0.21183940892418227
BCL2,ipin_baseline,context,150,-2.501257790194618,0.8803633363908514,-3.1483330726623535,-2.502261797587077,-1.8644205629825592,-5.174449920654297,-0.37357357144355774
BCL2,ipin_baseline,background,150,-2.541747314797507,0.9734302955802424,-3.1046579281489053,-2.5785729090372724,-1.8773006300131478,-5.028963406880696,0.23757932086785635
BCL2,ipin_baseline,low_plausibility,150,-2.778794823239247,0.9993609792948919,-3.5703543225924173,-2.7927773793538413,-2.12693053483963,-5.044538497924805,-0.18174616744120917
BCL2,ipin_optimized,P,3,0.5440699888600244,0.20462876174373698,0.4404168079296748,0.5386053224404653,0.6449908365805944,0.3422282934188843,0.7513763507207235
BCL2,ipin_optimized,context,150,-1.6949878254201678,1.0167924859838073,-2.3640309770902,-1.6762365301450093,-1.0739429195721946,-4.507301966349284,1.6864354610443115
BCL2,ipin_optimized,background,150,-1.8632684500681032,1.2071274558178708,-2.6242094238599143,-1.9376268982887268,-1.1702515768508117,-4.8582353591918945,2.4075588385264077
BCL2,ipin_optimized,low_plausibility,150,-2.3747529836826855,1.1145401762107954,-3.121961692969004,-2.470868766307831,-1.674403041601181,-5.323309421539307,2.1500254472096763
BCL2,tuna_retrained,P,3,-4.974386930465698,1.347287457467647,-5.500450770060221,-4.508002281188965,-4.215130766232808,-6.492899258931478,-3.922259251276652
BCL2,tuna_retrained,context,150,-7.7026088392568965,1.895532912842289,-9.03088136514028,-7.996531089146933,-6.456459204355875,-11.637018521626791,-0.9043729876478513
BCL2,tuna_retrained,background,150,-7.367678675386641,2.163889358906893,-8.935882250467936,-7.625752051671346,-5.820631464322408,-11.248284657796225,-1.1255463361740112
BCL2,tuna_retrained,low_plausibility,150,-6.651531261735491,1.6038791941864345,-7.884918252627054,-6.705880562464396,-5.628607074419658,-9.942054748535156,-2.1310658852259317
BCL2,tuna_original,P,3,0.6456567843755087,0.1462274181090471,0.5832560956478119,0.6817493438720703,0.7261037528514862,0.48476284742355347,0.7704581618309021
BCL2,tuna_original,context,150,0.509637947678566,0.12854230117503035,0.41124197095632553,0.4911953806877136,0.586285874247551,0.2684200704097748,0.8357781171798706
BCL2,tuna_original,background,150,0.5086635526021321,0.16191869463379732,0.3692854195833206,0.4925147742033005,0.6401887536048889,0.1967562586069107,0.8300914764404297
BCL2,tuna_original,low_plausibility,150,0.6308330444494883,0.09152355222786648,0.5711929798126221,0.6350609064102173,0.6997684091329575,0.34084761142730713,0.8032424449920654
KEAP1,ipin_baseline,P,3,-0.972729601793819,1.0661805071180868,-1.5855299234390259,-1.4846925735473633,-0.6159107660253842,-1.6863672733306885,0.25287104149659473
KEAP1,ipin_baseline,context,150,-1.1715041912543689,0.7760084519548175,-1.6423711478710175,-1.1865100065867107,-0.665842148164908,-3.100313107172648,1.6767644087473552
KEAP1,ipin_baseline,background,150,-1.5694938843521393,0.9780720936232253,-2.227790415287018,-1.4992039998372397,-0.8601718693971634,-4.617596467336019,0.675105075041453
KEAP1,ipin_baseline,low_plausibility,150,-1.8449851709066167,0.8912842694552869,-2.4417863686879477,-1.8198193510373435,-1.33729088306427,-4.306638399759929,0.565372516711553
KEAP1,ipin_optimized,P,3,0.4393825398551093,1.5647865460070876,-0.4036123951276144,0.1590913931528727,1.1422319014867148,-0.9663161834081014,2.1253724098205566
KEAP1,ipin_optimized,context,150,0.0016279824409220112,0.913958790029589,-0.6153980816404024,0.04491986334323883,0.556975285212199,-2.226942777633667,2.843095620473226
KEAP1,ipin_optimized,background,150,-0.6546396953364213,1.2653929827984773,-1.4910044570763905,-0.6450115541617075,0.3024294003844261,-4.345724900563558,2.5437397162119546
KEAP1,ipin_optimized,low_plausibility,150,-0.7114152925875451,0.9876452694354768,-1.406286895275116,-0.6914079487323761,0.0351115142305692,-3.4505867958068848,1.7119566996892293
KEAP1,tuna_retrained,P,3,-6.346147378285726,0.7348902270604937,-6.7578277587890625,-6.580003579457601,-6.051395098368326,-6.935651938120524,-5.522786617279053
KEAP1,tuna_retrained,context,150,-5.879736508263481,1.2794524626060748,-6.646437287330627,-5.817899107933044,-5.015145520369211,-10.13185453414917,-2.82599409421285
KEAP1,tuna_retrained,background,150,-6.66144262181388,1.5873752162151493,-7.519936998685201,-6.558393955230713,-5.491344710191091,-10.824246406555176,-3.267210086186727
KEAP1,tuna_retrained,low_plausibility,150,-6.260874799357521,1.3014554791239306,-7.0863224267959595,-6.158541560173035,-5.3612598578135175,-9.778145790100098,-3.008880297342936
KEAP1,tuna_original,P,3,0.5682230393091837,0.08268163827821197,0.5210221409797668,0.5333703756332397,0.5979976058006287,0.508673906326294,0.6626248359680176
KEAP1,tuna_original,context,150,0.5177839130163193,0.06830056084759212,0.46650198847055435,0.5203605890274048,0.5635475665330887,0.3397228419780731,0.6743009090423584
KEAP1,tuna_original,background,150,0.48767194092273713,0.0847362377029879,0.4216771349310875,0.49308881163597107,0.5494432151317596,0.27925992012023926,0.6573026180267334
KEAP1,tuna_original,low_plausibility,150,0.4849454426765442,0.06282773988076638,0.445025771856308,0.4876434653997421,0.5275119543075562,0.3035837411880493,0.6385195255279541
BRCA1,ipin_baseline,P,3,-1.3794916404618158,0.7169501392549239,-1.792981743812561,-1.759886344273885,-1.156198889017105,-1.826077143351237,-0.5525114337603251
BRCA1,ipin_baseline,context,150,-1.7707911530571678,0.8483579981107063,-2.2952372829119363,-1.7367370923360188,-1.202532172203064,-4.291612148284912,0.752197782198588
BRCA1,ipin_baseline,background,150,-2.1645975185765165,0.9379179911227996,-2.844349205493927,-2.138620694478353,-1.5341855684916177,-4.1297407150268555,0.5574378867944082
BRCA1,ipin_baseline,low_plausibility,150,-2.7319212797946397,0.8132401009739602,-3.365064799785614,-2.6612037022908526,-2.3536919156710305,-4.705098470052083,-0.24356450140476227
BRCA1,ipin_optimized,P,3,-0.5428514613045586,0.49503163230468467,-0.795281355579694,-0.563131054242452,-0.30056136349836987,-1.0274316569169362,-0.03799167275428772
BRCA1,ipin_optimized,context,150,-1.4948408823543125,0.9314499702462704,-2.206676820913951,-1.6003142893314362,-0.8021234025557836,-3.5646785895029702,0.6013323962688446
BRCA1,ipin_optimized,background,150,-2.0122614404559136,1.2060110908768211,-2.7477903763453164,-1.8223355611165366,-1.1957145631313324,-5.420084794362386,1.6192636092503865
BRCA1,ipin_optimized,low_plausibility,150,-2.7575721751981312,0.9005691100629722,-3.364438235759735,-2.784911235173543,-2.2109009126822157,-4.934326807657878,0.909908672173818
BRCA1,tuna_retrained,P,3,-5.209991561041939,0.8652009214710833,-5.705814758936564,-5.600692431131999,-4.909518798192343,-5.81093708674113,-4.2183451652526855
BRCA1,tuna_retrained,context,150,-7.392168633143107,1.3483067353520675,-8.26738953590393,-7.289717197418213,-6.5244550704956055,-10.533619244893393,-4.390567461649577
BRCA1,tuna_retrained,background,150,-7.930840731196931,1.7117781439617854,-9.125450293223063,-7.838244199752808,-6.82975713411967,-12.611309369405111,-3.565615177154541
BRCA1,tuna_retrained,low_plausibility,150,-9.129777897728815,1.316513918329605,-10.150238672892252,-9.27166223526001,-8.224571228027344,-11.8421049118042,-3.0812195936838784
BRCA1,tuna_original,P,3,0.610191543896993,0.02058550093051502,0.603883683681488,0.6213306188583374,0.6220689415931702,0.5864367485046387,0.6228072643280029
BRCA1,tuna_original,context,150,0.4794760349392891,0.09643398269917541,0.4111787974834442,0.4917992353439331,0.5599053055047989,0.2300136834383011,0.6677559614181519
BRCA1,tuna_original,background,150,0.3881778331597646,0.1400213044170088,0.2861602008342743,0.3938017785549164,0.49361974745988846,0.11369815468788147,0.7178393006324768
BRCA1,tuna_original,low_plausibility,150,0.2736258275310198,0.07780788382322569,0.21840939670801163,0.260816752910614,0.3165782392024994,0.15073969960212708,0.5173959136009216
KRAS,ipin_baseline,P,3,-1.3163655996322632,0.13255740616540412,-1.389295518398285,-1.3491066296895344,-1.259806195894877,-1.4294844071070354,-1.1705057621002197
KRAS,ipin_baseline,context,150,-1.5921867634645765,0.8446896292715768,-2.0981403589248657,-1.540287733078003,-1.0004238883654277,-4.232341845830281,0.579026480515798
KRAS,ipin_baseline,background,150,-2.0940817844702138,1.0608223089997864,-2.754436711470286,-2.046000103155772,-1.3601711293061576,-5.5689568519592285,0.16394767661889395
