panel,analysis,model,model_id,condition,dataset,metric,estimate,CI_low,CI_high,source_file,source_key,cell,positive_pairs,sampled_unlabeled_pairs,interval_source_key
,original,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,C3,Original protected test,concordance,0.789248765871385,0.7081575143063,0.845726808906893,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,C3_test,2379,1000000,cells/C3_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4/percentile_95
,original,ESM cosine,pooled_150m_cosine,C3,Original protected test,concordance,0.494045372008738,0.430611573924433,0.603313148736377,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/pooled_150m_cosine,C3_test,2379,1000000,cells/C3_test/metrics/pooled_150m_cosine/percentile_95
,original,Preferential attachment,preferential_attachment,C3,Original protected test,concordance,0.5,0.499999999999998,0.500000000000002,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/preferential_attachment,C3_test,2379,1000000,cells/C3_test/metrics/preferential_attachment/percentile_95
,original,Length ratio,sequence_length_ratio,C3,Original protected test,concordance,0.549302008411695,0.484382325320128,0.60667699576789,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/sequence_length_ratio,C3_test,2379,1000000,cells/C3_test/metrics/sequence_length_ratio/percentile_95
,original,Length sum,sequence_length_sum,C3,Original protected test,concordance,0.327235245904657,0.250421090770916,0.448694394866203,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/sequence_length_sum,C3_test,2379,1000000,cells/C3_test/metrics/sequence_length_sum/percentile_95
,original,Common neighbors,training_common_neighbors,C3,Original protected test,concordance,0.5,0.499999999999998,0.500000000000002,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/training_common_neighbors,C3_test,2379,1000000,cells/C3_test/metrics/training_common_neighbors/percentile_95
,original,Degree sum,training_degree_sum,C3,Original protected test,concordance,0.5,0.499999999999998,0.500000000000002,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/training_degree_sum,C3_test,2379,1000000,cells/C3_test/metrics/training_degree_sum/percentile_95
,original,3-mer cosine,within_pair_3mer_cosine,C3,Original protected test,concordance,0.493969620221909,0.413881742245338,0.565829247390411,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/C3_test/metrics/within_pair_3mer_cosine,C3_test,2379,1000000,cells/C3_test/metrics/within_pair_3mer_cosine/percentile_95
,original,Composition cosine,aac_cosine,source,Original protected test,concordance,0.562809060231639,0.497773529083217,0.645341960258044,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/aac_cosine,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/aac_cosine/percentile_95
,original,Component degree mass,component_degree_mass_product,source,Original protected test,concordance,0.687151170855725,0.616652460491621,0.826448669855967,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/component_degree_mass_product,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/component_degree_mass_product/percentile_95
,original,Hash sentinel,deterministic_hash,source,Original protected test,concordance,0.503486276933033,0.450544116416354,0.564506561563451,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/deterministic_hash,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/deterministic_hash/percentile_95
,original,3-mer interolog,exact_training_interolog_3mer,source,Original protected test,concordance,0.746631315876273,0.686502409072962,0.804834138708538,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/exact_training_interolog_3mer,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/exact_training_interolog_3mer/percentile_95
,original,iPIN affine,lightweight_esm2_150m_linear__linear_lr3e-4,source,Original protected test,concordance,0.841249052196841,0.796433433634753,0.877051933114153,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/lightweight_esm2_150m_linear__linear_lr3e-4/percentile_95
,original,ESM cosine,pooled_150m_cosine,source,Original protected test,concordance,0.57290474409773,0.506662777024578,0.651663841794932,artifacts/results/protected_final_test_v1/FINAL_TEST_RESULTS.json,cells/source_exclusive:HI-II-14:C1_test/metrics/pooled_150m_cosine,source_exclusive:HI-II-14:C1_test,280,1000000,cells/source_exclusive:HI-II-14:C1_test/metrics/pooled_150m_cosine/percentile_95
