checkpoint,checkpoint_sha256,concordance,epoch,parameters,prediction_sha256,predictions,recipe_id,run_id,seed,stage,swap_max_abs_error,name,family,width,dropout,lr,weight_decay
stage2__esm2_150m__residual_wide__seed20260831/epoch_04.npz,2f5fbe82194f88b8afb6ce90c8db1b1b2ed87cd1d03484ffec0375e2774c17f1,0.777405005289751,4,498053,3a8ece99431444558d208d2ad6acc924fb4705831f98f7fd3dd3a62eca366d18,stage2__esm2_150m__residual_wide__seed20260831/epoch_04_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260831,20260831,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__residual_wide__seed20260831/epoch_08.npz,e64a48f0000c28071795a8b8fdcf163789a802c2cc9c17174e13cd44aa9bfbd4,0.770755637519538,8,498053,752464057726f33742299f12dbf6562c5401eb9ada13d590fa4e1e979c97f823,stage2__esm2_150m__residual_wide__seed20260831/epoch_08_development.npy,esm2_150m__residual_wide,stage2__esm2_150m__residual_wide__seed20260831,20260831,2,0,residual_wide,residual_mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260803/epoch_04.npz,d45f25befbfed83a56863fe8a19e9f005e893a950e829d481f3bdc4bd25146ce,0.786355552751201,4,496131,6c0048993e2b2b67c0f96854ab0ec66ca5976862fddea8e197e1f1455650172c,stage2__esm2_150m__mlp_wide__seed20260803/epoch_04_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260803,20260803,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260803/epoch_08.npz,67a1d520bbb2707b4847d7a9947baa0a880a8537a0e5dbafac526f75caef3147,0.775362703965662,8,496131,03aba9bb3cca9fc9912edd05cef97869e3e196eae651d73ed35cecef01b4a631,stage2__esm2_150m__mlp_wide__seed20260803/epoch_08_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260803,20260803,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260817/epoch_04.npz,4db766705caa488ae4fda53ebda3e434237037fec98282c5e4b61f1bdf4ae818,0.797537091161276,4,496131,996b459603c87cdefec42d4f2e3468cc155151844e2f2eb065cc9f2786c756e6,stage2__esm2_150m__mlp_wide__seed20260817/epoch_04_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260817,20260817,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260817/epoch_08.npz,9ea2faba4eac8a5d32cbb00620ab948dc639a4d76e9f1377600a48e7994311a9,0.792260515002509,8,496131,528619ae3105b91427677e9b8996c969b528baaef9f330b9a0975d549ebc027e,stage2__esm2_150m__mlp_wide__seed20260817/epoch_08_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260817,20260817,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260831/epoch_04.npz,ab6a4ccc741f6c8bd4e100d219017a5b5eede4d70c90ea0101e2dcd87fdd9763,0.779157293148619,4,496131,75dab8131417cfcc493074bd678dfd9f32943cbb9943e09597eb277f68c07c20,stage2__esm2_150m__mlp_wide__seed20260831/epoch_04_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260831,20260831,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_150m__mlp_wide__seed20260831/epoch_08.npz,d169fdff67d6d5c19634aee084150ee88546b769b8151406d4e6456215dd0ac5,0.76876343840276,8,496131,557297984cbf75d29a079c4e9c764b3f44bb06a3062e4e4b66013466410adb35,stage2__esm2_150m__mlp_wide__seed20260831/epoch_08_development.npy,esm2_150m__mlp_wide,stage2__esm2_150m__mlp_wide__seed20260831,20260831,2,0,mlp_wide,mlp,256,0.3,0.0001,0.01
stage2__esm2_650m__mlp_small__seed20260803/epoch_04.npz,67fbe33fa474c7467a6cc16a57a7784935c1994177531a4025c121a793a0b82c,0.781959613457531,4,253635,d720d3babd79e52125c3bcd0fe56ddfe1c676ff5085fd9d4f49bfa5b9f046f71,stage2__esm2_650m__mlp_small__seed20260803/epoch_04_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260803,20260803,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
stage2__esm2_650m__mlp_small__seed20260803/epoch_08.npz,68a01683cbe27b01ae3fe725c9cb60e86109f3594241f92259fbbd12b3eb54ee,0.765474332663455,8,253635,f88d569ba26a338bc057a1c1f54a381c007731a069039c935ec1731059e44dd0,stage2__esm2_650m__mlp_small__seed20260803/epoch_08_development.npy,esm2_650m__mlp_small,stage2__esm2_650m__mlp_small__seed20260803,20260803,2,0,mlp_small,mlp,64,0.1,0.0003,0.01
