row_index,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
144,-9.686217308044434,-8.771462440490723,-7.885465621948242,-8.781048456827799
145,-12.029661178588867,-10.299755096435547,-11.132118225097656,-11.153844833374023
146,-12.272789001464844,-11.232895851135254,-11.706979751586914,-11.737554868062338
147,-8.108596801757812,-8.183612823486328,-10.882489204406738,-9.058232943216959
148,-11.967251777648926,-16.795089721679688,-13.087200164794922,-13.949847221374512
149,-9.90395450592041,-10.042941093444824,-10.794929504394531,-10.247275034586588
150,-9.542489051818848,-14.541504859924316,-9.255414962768555,-11.113136291503906
151,-7.73093318939209,-8.14418888092041,-12.696881294250488,-9.524001121520996
152,-12.085472106933594,-8.080108642578125,-11.160022735595703,-10.44186782836914
153,-12.170730590820312,-9.871393203735352,-8.360376358032227,-10.134166717529297
154,-7.7744460105896,-10.62796401977539,-11.039080619812012,-9.813830216725668
155,-12.736809730529785,-7.574676513671875,-9.569775581359863,-9.960420608520508
156,-12.318014144897461,-11.478812217712402,-13.960412979125977,-12.58574644724528
157,-9.406311988830566,-8.438920974731445,-8.555787086486816,-8.800340016682943
158,-8.070845603942871,-9.916105270385742,-11.686881065368652,-9.891277313232422
159,-6.926769733428955,-5.75622034072876,-11.725324630737305,-8.136104901631674
160,-11.992416381835938,-9.432931900024414,-10.711836814880371,-10.712395032246908
161,-11.712137222290039,-9.971498489379883,-11.72927188873291,-11.137635866800943
162,-9.871835708618164,-10.183927536010742,-11.422456741333008,-10.492739995320639
163,-9.130873680114746,-4.887500762939453,-12.156949996948242,-8.72510814666748
164,-8.630417823791504,-7.84224796295166,-9.207998275756836,-8.560221354166666
165,-14.864264488220215,-15.064809799194336,-12.227938652038574,-14.052337646484375
166,-6.723499298095703,-6.6280131340026855,-5.52197265625,-6.29116169611613
167,-11.350347518920898,-12.211960792541504,-12.769730567932129,-12.110679626464844
168,-8.636404991149902,-8.651594161987305,-10.134172439575195,-9.140723864237467
169,-12.448784828186035,-12.806171417236328,-11.991689682006836,-12.4155486424764
170,-6.517385482788086,-11.350358009338379,-9.688228607177734,-9.1853240331014
171,-13.528904914855957,-13.989959716796875,-13.924164772033691,-13.814343134562174
172,-8.47940731048584,-6.761493682861328,-9.020179748535156,-8.087026913960775
173,-11.168967247009277,-8.504040718078613,-8.471484184265137,-9.381497383117676
174,-13.828341484069824,-8.698461532592773,-10.704590797424316,-11.077131271362305
175,-8.47525405883789,-7.442465305328369,-11.261553764343262,-9.059757709503174
176,-8.870715141296387,-9.713140487670898,-9.006739616394043,-9.19686508178711
177,-10.94589900970459,-11.07985782623291,-11.982901573181152,-11.336219469706217
178,-11.714354515075684,-13.589271545410156,-11.164862632751465,-12.156162897745768
179,-7.474644660949707,-6.339515686035156,-5.737821578979492,-6.517327308654785
180,-7.643858909606934,-7.258235454559326,-10.996267318725586,-8.632787227630615
181,-9.4041109085083,-8.138505935668945,-9.742844581604004,-9.09515380859375
182,-5.652803897857666,-14.512679100036621,-7.4430108070373535,-9.202831268310547
183,-8.474686622619629,-6.4114203453063965,-9.55674934387207,-8.147618770599365
184,-11.564126014709473,-8.801711082458496,-10.865462303161621,-10.410433133443197
185,-13.029415130615234,-10.421184539794922,-7.322468280792236,-10.257689317067465
186,-7.773151874542236,-9.375813484191895,-9.824721336364746,-8.991228898366293
187,-7.441497325897217,-6.913088321685791,-10.606612205505371,-8.320399284362793
188,-8.219277381896973,-12.6300048828125,-7.420883655548096,-9.423388640085856
189,-6.924131870269775,-8.380406379699707,-10.410104751586914,-8.571547667185465
190,-9.821640014648438,-7.312341213226318,-9.230110168457031,-8.78803046544393
191,-8.421428680419922,-5.304928302764893,-8.553512573242188,-7.426623185475667
192,-13.757391929626465,-11.491679191589355,-16.03953742980957,-13.762869517008463
193,-10.542576789855957,-12.268523216247559,-10.756378173828125,-11.189159393310547
194,-11.160204887390137,-11.604819297790527,-10.105119705200195,-10.956714630126953
195,-4.929989814758301,-7.5963358879089355,-6.550488471984863,-6.358938058217366
