cohort,model,positive_subset,U_stratum,targets,P,U,macro_P_vs_U_concordance,MAP,MRR,mean_first_positive_rank,total_recovered_P_at_5,target_success_count_at_5,macro_recall_at_5,macro_known_positive_precision_at_5,macro_EF_at_5,macro_NDCG_at_5,macro_target_success_at_5,total_recovered_P_at_10,target_success_count_at_10,macro_recall_at_10,macro_known_positive_precision_at_10,macro_EF_at_10,macro_NDCG_at_10,macro_target_success_at_10,total_recovered_P_at_20,target_success_count_at_20,macro_recall_at_20,macro_known_positive_precision_at_20,macro_EF_at_20,macro_NDCG_at_20,macro_target_success_at_20
all_twelve,ipin_optimized,exclude_development_P,all_U,12,36,3700,0.7086574074074073,0.10495034908339577,0.2060749124159058,38.083333333333336,3.0,3.0,0.08333333333333333,0.05000000000000001,5.05,0.0884535456628739,0.25,6.0,4.0,0.16666666666666666,0.05000000000000001,5.05,0.12503356130681087,0.3333333333333333,12.0,8.0,0.3263888888888889,0.049999999999999996,5.05,0.18326794661253146,0.6666666666666666
all_twelve,tuna_retrained,exclude_development_P,all_U,12,36,3700,0.736736111111111,0.11283552195488293,0.24782121707963226,27.0,4.0,3.0,0.10416666666666667,0.06666666666666667,6.733333333333333,0.10803379046056533,0.25,7.0,6.0,0.1875,0.05833333333333333,5.891666666666667,0.146072822402979,0.5,9.0,8.0,0.24305555555555555,0.0375,3.7875,0.1641822556713863,0.6666666666666666
all_twelve,ipin_baseline,exclude_development_P,context,12,36,1850,0.6256481481481483,0.09876071758882408,0.17927782549631288,25.5,3.0,3.0,0.08333333333333333,0.05000000000000001,2.5500000000000003,0.07821312100379274,0.25,6.0,5.0,0.16666666666666666,0.049999999999999996,2.5500000000000003,0.11432522002878127,0.4166666666666667,11.0,8.0,0.2986111111111111,0.04583333333333334,2.3375000000000004,0.16272950784099974,0.6666666666666666
all_twelve,ipin_optimized,exclude_development_P,context,12,36,1850,0.6812037037037038,0.17047423405495132,0.32393006722275014,20.916666666666668,6.0,4.0,0.16666666666666666,0.10000000000000002,5.1000000000000005,0.16441892580362685,0.3333333333333333,12.0,8.0,0.3263888888888889,0.09999999999999999,5.1000000000000005,0.2378249475392092,0.6666666666666666,13.0,8.0,0.3541666666666667,0.05416666666666667,2.7625000000000006,0.24839303227524198,0.6666666666666666
all_twelve,tuna_retrained,exclude_development_P,context,12,36,1850,0.7112384259259259,0.16514243945397478,0.34949436515932675,16.166666666666668,8.0,7.0,0.21527777777777776,0.13333333333333333,6.800000000000001,0.19152859388449692,0.5833333333333334,9.0,8.0,0.24305555555555555,0.075,3.8250000000000006,0.203300841622816,0.6666666666666666,14.0,10.0,0.3819444444444445,0.05833333333333334,2.975,0.2529850982357522,0.8333333333333334
all_twelve,ipin_baseline,exclude_development_P,background,12,36,1850,0.7065740740740741,0.10143009287777797,0.16889113574597445,18.25,3.0,3.0,0.08333333333333333,0.05000000000000001,2.5500000000000003,0.06890026541192572,0.25,8.0,6.0,0.21527777777777776,0.06666666666666667,3.4000000000000004,0.13053403940918898,0.5,11.0,8.0,0.2986111111111111,0.04583333333333334,2.3375000000000004,0.16083041730599865,0.6666666666666666
all_twelve,ipin_optimized,exclude_development_P,background,12,36,1850,0.7361111111111112,0.14870410477276758,0.24084247954947177,18.166666666666668,5.0,5.0,0.13888888888888887,0.08333333333333333,4.250000000000001,0.1204243072493656,0.4166666666666667,12.0,8.0,0.3263888888888889,0.09999999999999999,5.1000000000000005,0.20629537986389515,0.6666666666666666,15.0,8.0,0.40972222222222227,0.06250000000000001,3.1875,0.23644054381026705,0.6666666666666666
all_twelve,tuna_retrained,exclude_development_P,background,12,36,1850,0.7622337962962962,0.17406107266834783,0.3071338383838384,11.833333333333334,6.0,5.0,0.1597222222222222,0.10000000000000002,5.1000000000000005,0.1522605632920023,0.4166666666666667,10.0,9.0,0.2708333333333333,0.08333333333333333,4.250000000000001,0.20549290557724584,0.75,20.0,11.0,0.548611111111111,0.08333333333333336,4.249999999999999,0.30302034551373275,0.9166666666666666
all_twelve,ipin_baseline,exclude_development_P_and_homomers,all_U,12,35,3700,0.6527083333333333,0.05225636050531244,0.08956555570172707,55.333333333333336,3.0,3.0,0.08333333333333333,0.05000000000000001,5.05,0.05323783800103945,0.25,3.0,3.0,0.08333333333333333,0.025000000000000005,2.525,0.05323783800103945,0.25,7.0,5.0,0.19444444444444442,0.029166666666666664,2.9458333333333333,0.09165500505234521,0.4166666666666667
all_twelve,ipin_optimized,exclude_development_P_and_homomers,all_U,12,35,3700,0.6958101851851852,0.10338201060735523,0.20045855296890122,57.583333333333336,3.0,3.0,0.08333333333333333,0.05000000000000001,5.05,0.0884535456628739,0.25,6.0,4.0,0.16666666666666666,0.05000000000000001,5.05,0.12503356130681087,0.3333333333333333,11.0,7.0,0.3055555555555555,0.04583333333333333,4.6291666666666655,0.17494120440243685,0.5833333333333334
