panel,model,PU_concordance,ci95_low,ci95_high
C3:test_1_reconciled,selected,0.8332555447743882,0.77675833637303,0.8674281716511494
C3:test_1_reconciled,fresh_control,0.8462691158808675,0.7959849949691906,0.8797701867756044
C3:test_1_reconciled,ipin_tuna_frozen,0.8011408954622495,0.7287707609873064,0.8474648024647665
C3:test_1_reconciled,ipin_optimized,0.7915340878106276,0.7300334447572242,0.83594892576956
C3:test_1_reconciled,ipin_original,0.7752737651299472,0.7040942097236658,0.8282143590473585
C3:test_added,selected,0.7401919892933619,0.6936183812305421,0.781701404793022
C3:test_added,fresh_control,0.6939003554603854,0.6367041016416528,0.7417330488967796
C3:test_added,ipin_tuna_frozen,0.6866013640256959,0.6343509891777728,0.7266693376075605
C3:test_added,ipin_optimized,0.6935926638115631,0.643880717750578,0.7367735668951161
C3:test_added,ipin_original,0.6769735610278372,0.6284225573952507,0.720843167131916
C3:test_2_macro,selected,0.7867237670338751,0.7565848499525802,0.8093083903673687
C3:test_2_macro,fresh_control,0.7700847356706264,0.737554638533059,0.7946305339765647
C3:test_2_macro,ipin_tuna_frozen,0.7438711297439727,0.7032419473857277,0.7727358200758729
C3:test_2_macro,ipin_optimized,0.7425633758110954,0.7021971108842614,0.7717020381571531
C3:test_2_macro,ipin_original,0.7261236630788922,0.6829093688074159,0.7588723719441935
