cohort,panel_id,target_id,model,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
no_exact_TRAIN_DEV_endpoint,03eb25a1d61592c7e34e4334ccff56de140e1d356fff36afe209e4ae0f56df2c,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,54,55,0.8703703703703703,0.125,8,8,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,5.500000000000001,0.31546487678572877,1.0,1.0,1.0,0.05,2.7500000000000004,0.31546487678572877,1.0
all,677ea5dab05164c29ba48b6678249985f849c37cb6be37d38eb39cb52340ceea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_baseline,1,100,101,0.63,0.02631578947368421,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,677ea5dab05164c29ba48b6678249985f849c37cb6be37d38eb39cb52340ceea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_optimized,1,100,101,0.79,0.045454545454545456,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,677ea5dab05164c29ba48b6678249985f849c37cb6be37d38eb39cb52340ceea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,tuna_retrained,1,100,101,0.74,0.037037037037037035,27,27,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,677ea5dab05164c29ba48b6678249985f849c37cb6be37d38eb39cb52340ceea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_tuna_31k,1,100,101,0.65,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,33f7ebcbe6929fc59a2948a4610599c88879ae613fc5d16a0732c7d312de2746,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_baseline,1,100,101,0.8,0.047619047619047616,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,33f7ebcbe6929fc59a2948a4610599c88879ae613fc5d16a0732c7d312de2746,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_optimized,1,100,101,0.91,0.1,10,10,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,10.1,0.2890648263178879,1.0,1.0,1.0,0.05,5.05,0.2890648263178879,1.0
all,33f7ebcbe6929fc59a2948a4610599c88879ae613fc5d16a0732c7d312de2746,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,tuna_retrained,1,100,101,0.82,0.05263157894736842,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.23137821315975915,1.0
all,33f7ebcbe6929fc59a2948a4610599c88879ae613fc5d16a0732c7d312de2746,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_tuna_31k,1,100,101,0.51,0.02,50,50,50.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,158c3ccee01cc391a544ca637212de30016dfa3c236328df3b7f34d9c44114ea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_baseline,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
all,158c3ccee01cc391a544ca637212de30016dfa3c236328df3b7f34d9c44114ea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_optimized,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
all,158c3ccee01cc391a544ca637212de30016dfa3c236328df3b7f34d9c44114ea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,tuna_retrained,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
all,158c3ccee01cc391a544ca637212de30016dfa3c236328df3b7f34d9c44114ea,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_tuna_31k,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
all,ff7e1f5fff3b1975670324b67ab1b805e1757c2ba9c86b5be78aa61a8b38eba6,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_baseline,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
all,ff7e1f5fff3b1975670324b67ab1b805e1757c2ba9c86b5be78aa61a8b38eba6,0114b8b8dfd619ae738c1429816be6a32e976d08e401575007d706e425f5cf5e,ipin_optimized,1,100,101,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.2,20.2,1.0,1.0,1.0,1.0,0.1,10.1,1.0,1.0,1.0,1.0,0.05,5.05,1.0,1.0
