cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
all,equal_yeast_target,recall_at_10,tuna_retrained,ipin_tuna_31k,-0.05372883021233621,-0.08395599730465947,-0.022068083950313455,545,1555
all,equal_positive,recall_at_20,ipin_baseline,ipin_optimized,0.09774919614147914,0.07278070272666812,0.12530739882839118,545,1555
all,equal_positive,recall_at_20,ipin_baseline,tuna_retrained,0.13054662379421222,0.1032111699955773,0.1591066684276527,545,1555
all,equal_positive,recall_at_20,ipin_baseline,ipin_tuna_31k,0.10418006430868165,0.07522667599478215,0.13123655855749913,545,1555
all,equal_positive,recall_at_20,ipin_optimized,tuna_retrained,0.03279742765273308,0.00394977244002597,0.05945584819317322,545,1555
all,equal_positive,recall_at_20,ipin_optimized,ipin_tuna_31k,0.006430868167202508,-0.026296057027133026,0.03573707132841708,545,1555
all,equal_positive,recall_at_20,tuna_retrained,ipin_tuna_31k,-0.026366559485530572,-0.05161409356029035,-0.0032615786040443018,545,1555
all,equal_yeast_target,recall_at_20,ipin_baseline,ipin_optimized,0.09902368337822731,0.06594470693649074,0.13298054313701863,545,1555
all,equal_yeast_target,recall_at_20,ipin_baseline,tuna_retrained,0.14551300383443144,0.108854686303982,0.18300337389494448,545,1555
all,equal_yeast_target,recall_at_20,ipin_baseline,ipin_tuna_31k,0.11962435764181423,0.08206121786687996,0.1592646877240204,545,1555
all,equal_yeast_target,recall_at_20,ipin_optimized,tuna_retrained,0.04648932045620413,0.016858578093699703,0.07671021502366301,545,1555
all,equal_yeast_target,recall_at_20,ipin_optimized,ipin_tuna_31k,0.020600674263586916,-0.01151474103482567,0.05342257301495225,545,1555
all,equal_yeast_target,recall_at_20,tuna_retrained,ipin_tuna_31k,-0.025888646192617215,-0.05447564197683612,0.003037543549067022,545,1555
all,equal_positive,NDCG_at_10,ipin_baseline,ipin_optimized,0.09111181706943922,0.07407972733438127,0.1101914135617118,545,1555
all,equal_positive,NDCG_at_10,ipin_baseline,tuna_retrained,0.13993488663811782,0.12172812585146385,0.16122292204938946,545,1555
all,equal_positive,NDCG_at_10,ipin_baseline,ipin_tuna_31k,0.07893105135141171,0.0616748735203168,0.09566066239620727,545,1555
all,equal_positive,NDCG_at_10,ipin_optimized,tuna_retrained,0.0488230695686786,0.032678713446565144,0.06479672845978635,545,1555
all,equal_positive,NDCG_at_10,ipin_optimized,ipin_tuna_31k,-0.012180765718027509,-0.033973059678127394,0.0071511083471505485,545,1555
all,equal_positive,NDCG_at_10,tuna_retrained,ipin_tuna_31k,-0.06100383528670611,-0.07948827705366829,-0.04497751790373472,545,1555
all,equal_yeast_target,NDCG_at_10,ipin_baseline,ipin_optimized,0.10855862292028384,0.08700534123792836,0.1300620527304182,545,1555
all,equal_yeast_target,NDCG_at_10,ipin_baseline,tuna_retrained,0.17783294752504375,0.15065453281735097,0.20543915739710383,545,1555
all,equal_yeast_target,NDCG_at_10,ipin_baseline,ipin_tuna_31k,0.10832193282055796,0.08272761209046002,0.1340062704153111,545,1555
all,equal_yeast_target,NDCG_at_10,ipin_optimized,tuna_retrained,0.06927432460475991,0.04710490242332167,0.09219735462921895,545,1555
all,equal_yeast_target,NDCG_at_10,ipin_optimized,ipin_tuna_31k,-0.00023669009972587807,-0.02332036844385103,0.022828183972992487,545,1555
all,equal_yeast_target,NDCG_at_10,tuna_retrained,ipin_tuna_31k,-0.06951101470448579,-0.08851863287317341,-0.05057288038920975,545,1555
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,ipin_baseline,ipin_optimized,0.02971571068952039,0.015509691984665503,0.04480784300234243,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,ipin_baseline,tuna_retrained,0.041791512262669306,0.015739184895187087,0.0671623903165558,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,0.04329824693923534,0.019049063238648828,0.06507372216471786,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,ipin_optimized,tuna_retrained,0.012075801573148914,-0.011672306547152506,0.03582319790210439,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,0.01358253624971495,-0.010949683237219449,0.0368870524335667,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,0.001506734676566035,-0.02689504739732978,0.03313027599158625,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,ipin_baseline,ipin_optimized,0.022981828592075204,0.005107224190155335,0.04096281133000974,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,ipin_baseline,tuna_retrained,0.04949345690186546,0.023585622362720098,0.07527301488582074,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,0.03414462365081128,0.0073224876171600955,0.060282352255786,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,ipin_optimized,tuna_retrained,0.02651162830979026,0.001499392477838113,0.051554867187146254,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,0.011162795058736075,-0.01379945334902194,0.03639927259433758,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,-0.015348833251054184,-0.036747196939288344,0.005815363778111045,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,ipin_baseline,ipin_optimized,0.07254538285437093,0.0483428824204546,0.09995937900520922,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,ipin_baseline,tuna_retrained,0.10094750906690417,0.0717567282581548,0.13174880657844787,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,ipin_baseline,ipin_tuna_31k,0.04861353465672477,0.018767190824475435,0.07649438289036722,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,ipin_optimized,tuna_retrained,0.02840212621253324,0.000975239068161678,0.054786954720494566,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,ipin_optimized,ipin_tuna_31k,-0.023931848197646155,-0.05850454847754081,0.005246156457677266,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,average_precision,tuna_retrained,ipin_tuna_31k,-0.052333974410179396,-0.08221968360325145,-0.026098631777800276,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,ipin_baseline,ipin_optimized,0.07729189016419874,0.042924668355241224,0.11315539609711384,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,ipin_baseline,tuna_retrained,0.11206282590419447,0.07173960617313013,0.15367333463096194,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,ipin_baseline,ipin_tuna_31k,0.03187654578767174,-0.005731031654202596,0.06980183230541559,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,ipin_optimized,tuna_retrained,0.034770935739995734,-0.0037781778365249858,0.07223277305280353,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,ipin_optimized,ipin_tuna_31k,-0.045415344376527,-0.08359803780867095,-0.007687891677450889,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,average_precision,tuna_retrained,ipin_tuna_31k,-0.08018628011652273,-0.11604859629079045,-0.04500228902580157,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,ipin_baseline,ipin_optimized,0.07254538285437093,0.0483428824204546,0.09995937900520922,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,reciprocal_rank,ipin_baseline,tuna_retrained,0.10094750906690417,0.0717567282581548,0.13174880657844787,277,631
