cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,reciprocal_rank,0.37054281788818966,0.33061174500827445,0.41112732664379753,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,reciprocal_rank,0.2903565377716669,0.2532386912575367,0.3284397036178366,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,first_positive_rank_expected,16.454833597464344,14.418135289976927,18.52011311845574,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,first_positive_rank_expected,14.684627575277338,12.506079872204474,17.00910584466462,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,first_positive_rank_expected,14.007923930269413,11.485943272917392,16.998631747531388,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,first_positive_rank_expected,13.792393026941363,12.398640903729913,15.103839622389216,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,first_positive_rank_expected,15.010777622906094,13.385031958808948,16.708619549982604,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,first_positive_rank_expected,13.697172736919894,12.01241945406811,15.469441204682749,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,first_positive_rank_expected,12.047867594345703,10.526962768234213,13.598649102532496,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,first_positive_rank_expected,12.94435109254061,11.568634329770461,14.388423816277411,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_5,0.329635499207607,0.2833333333333333,0.38198527796088766,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_5,0.41996830427892234,0.36222687255538993,0.4811649769428997,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_5,0.43423137876386686,0.3824451410658307,0.49019900061365823,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_5,0.39619651347068147,0.35510637546255003,0.4407304099636741,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_5,0.3908494845032941,0.3397700269572301,0.44335030943785453,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_5,0.4612997870455594,0.4081828648582401,0.5132684560172447,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,recall_at_5,0.4885445432152905,0.43598404891179926,0.5417482685285032,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,recall_at_5,0.4122135681695683,0.3602449460775103,0.46423376698286106,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_10,0.4896988906497623,0.4408460619615218,0.545774647887324,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_optimized,recall_at_10,0.5530903328050714,0.49333277591973246,0.6151046162810773,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,tuna_retrained,recall_at_10,0.5736925515055468,0.5077121693666337,0.6365105008077544,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_tuna_31k,recall_at_10,0.5641838351822503,0.5180543709917761,0.6126791549295774,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_baseline,recall_at_10,0.5416485229044605,0.49109603009410635,0.592916879497727,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_optimized,recall_at_10,0.5911702243872924,0.5389219590999708,0.6426673633542339,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,tuna_retrained,recall_at_10,0.6176657515763403,0.5668271125707983,0.668628884756823,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,ipin_tuna_31k,recall_at_10,0.580534202925696,0.5279740448335899,0.6326999810728707,277,631,631,38898
no_exact_TRAIN_DEV_endpoint,equal_positive,ipin_baseline,recall_at_20,0.7004754358161648,0.6441980014142403,0.7570098149607777,277,631,631,38898
