dataset,subgroup,model,K,primary_selected,queries,components,EF,EF_low,EF_high,Hits,Hits_low,Hits_high,Recall,Recall_low,Recall_high,Known_positive_rate,Known_positive_rate_low,Known_positive_rate_high,Any_hit,Any_hit_low,Any_hit_high,total_oriented_query_hits,micro_recall_oriented,median_hits
C2_test,train,ipin_baseline,10,False,2745,1732,4.511328057348074,4.265254265313569,4.783425803797877,0.9832422586520947,0.8746757072932665,1.1231133355955207,0.20725556682134796,0.1960743826754012,0.21991380358472382,0.09832422586520882,0.08746757072932587,0.11231133355955172,0.4663023679417122,0.4473787739246383,0.4856512613979608,2699.0,0.20072884129109028,0.0
C2_test,train,ipin_baseline,20,False,2745,1732,3.633752566561578,3.4829273901015223,3.8249952043583377,1.6459016393442623,1.4494379144062688,1.9207027989607373,0.3334870797111073,0.3197130649446371,0.35105994334036833,0.08229508196721384,0.07247189572031391,0.0960351399480378,0.6109289617486339,0.5923621367632996,0.6315017142604349,4518.0,0.3360107095046854,1.0
C2_test,train,ipin_baseline,30,False,2745,1732,3.0021899921800514,2.8904687249927097,3.1301518114617384,2.09143897996357,1.8344422424392897,2.4568756623834567,0.41287651691911487,0.39799439700730377,0.4299172530078397,0.06971463266545133,0.061148074747975886,0.08189585541278098,0.6805100182149363,0.6616983550570523,0.6997204958953609,5741.0,0.4269671277703406,1.0
C2_test,train,ipin_optimized,10,False,2745,1732,5.337403474777144,5.078694382584986,5.633511930101032,1.141712204007286,1.0337057305613375,1.2778719285479947,0.24487364574287798,0.23303589549977896,0.25893995320219443,0.11417122040072847,0.10337057305613304,0.12778719285479903,0.516575591985428,0.497598727591554,0.5382150345687408,3134.0,0.23308047002826118,1.0
C2_test,train,ipin_optimized,20,False,2745,1732,3.988177439375234,3.831356221402144,4.153334330429115,1.8076502732240438,1.6083318661971833,2.0802281741654283,0.365997663413864,0.35190434510179425,0.3808244305442911,0.09038251366120306,0.08041659330985937,0.10401140870827191,0.6338797814207651,0.6154567770266937,0.6521217483083632,4962.0,0.36903168228469435,1.0
C2_test,train,ipin_optimized,30,False,2745,1732,3.3026957979174925,3.19039123742802,3.4292953707770435,2.2841530054644807,2.029320796148965,2.6493696770103825,0.4543459029248084,0.4393392676723986,0.4713875223034263,0.07613843351548169,0.06764402653829815,0.08831232256701213,0.7078324225865209,0.6904281428153328,0.7249014111393449,6270.0,0.46630968317715304,1.0
C2_test,train,tuna_retrained,10,False,2745,1732,5.421222352921714,5.165978670668203,5.679684429958881,1.2153005464480875,1.0923195854133543,1.3576134699488274,0.2486885938384711,0.23679364281825097,0.2604685426934516,0.12153005464480879,0.1092319585413354,0.13576134699488324,0.5264116575591985,0.5070838378606376,0.5461492063752931,3336.0,0.24810352521195894,1.0
C2_test,train,tuna_retrained,20,False,2745,1732,4.2104719484308335,4.058516022092666,4.358395448609589,1.9839708561020037,1.771878854231029,2.2543814485311677,0.3861908424697791,0.3723636082169362,0.39933077405880124,0.09919854280510111,0.08859394271155228,0.11271907242655946,0.6499089253187614,0.6323332247557003,0.6683266238970296,5446.0,0.4050275174773167,1.0
C2_test,train,tuna_retrained,30,False,2745,1732,3.4980377403031038,3.389727772197056,3.6209137859562897,2.5009107468123863,2.230557430000085,2.866398612452113,0.4807952318210638,0.46612539202293557,0.49723919690135454,0.08336369156041173,0.07435191433333548,0.09554662041506946,0.7242258652094717,0.7079937849162011,0.743100662237399,6865.0,0.5105607615647776,1.0
C2_test,train,combo_55_45,10,False,2745,1732,5.977497817132435,5.672511895401924,6.2347571641039625,1.2724954462659381,1.1527382995431767,1.4087469441095952,0.27486037223186477,0.2606079818724175,0.28678165853629073,0.12724954462659405,0.1152738299543174,0.14087469441095993,0.5562841530054645,0.5371894576312349,0.5749637663790997,3493.0,0.2597798601814666,1.0
