dataset,subgroup,variant,reference,K,primary_selected,queries,EF_delta,EF_delta_low,EF_delta_high,Hits_delta,Hits_delta_low,Hits_delta_high,Recall_delta,Recall_delta_low,Recall_delta_high,Known_positive_rate_delta,Known_positive_rate_delta_low,Known_positive_rate_delta_high,Any_hit_delta,Any_hit_delta_low,Any_hit_delta_high
C3_test,all,shortlist_weighted,tuna_retrained,30,False,842,-0.47848454527518314,-1.1847185244238587,0.18127024442935397,-0.21496437054631823,-0.31985772506677107,-0.10827277892407526,-0.017953810299250472,-0.04509399312997349,0.007338647258785946,-0.00716547901821063,-0.010661924168892292,-0.0036090926308025026,-0.029691211401425166,-0.06399347416943976,0.0034404319221967945
C3_test,all,shortlist_weighted,combo_55_45,10,False,842,-0.810302947800821,-1.8347817677226348,0.17070419434168924,-0.0771971496437055,-0.11901982339799293,-0.03543701417655505,-0.010127194262855715,-0.023047672686623773,0.002417001969583022,-0.007719714964370489,-0.011901982339799224,-0.0035437014176555007,-0.01781472684085511,-0.04049425499923613,0.005182157579948848
C3_test,all,shortlist_weighted,combo_55_45,20,False,842,-0.42195115338809863,-1.0503691146017775,0.19685611868626987,-0.14014251781472686,-0.19348449447748514,-0.08341700995537238,-0.0106087448344436,-0.02679936100895996,0.004963760048537168,-0.007007125890736279,-0.009674224723874173,-0.004170850497768614,-0.022565320665083155,-0.048520710059171634,0.0025680600856796874
C3_test,all,shortlist_weighted,combo_55_45,30,False,842,-0.5583894101173117,-0.9946132158623043,-0.11691293714177842,-0.23634204275534443,-0.3270980743394536,-0.14540293576446978,-0.0211624596913903,-0.03782973881534312,-0.004118282677374629,-0.007878068091844805,-0.010903269144648464,-0.004846764525482362,-0.024940617577197233,-0.050003387533875385,-0.001194251755261623
C2_test,all,historical_ef_selected,ipin_baseline,10,False,3930,1.8177160594024802,1.4985592064965338,2.173611326526518,0.28244274809160297,0.24303408007846838,0.3260219739904869,0.05745310530882472,0.047560222319460756,0.06817295354585015,0.02824427480916117,0.024303408007847412,0.03260219739904932,0.06590330788804066,0.052668955006122446,0.07954977671370106
C2_test,all,historical_ef_selected,ipin_baseline,20,False,3930,0.9365178398092127,0.7876988542419924,1.1033632568877907,0.3513994910941476,0.3000189804887013,0.40794129977250826,0.05730099195484939,0.04737048569484206,0.06704497516504906,0.017569974554707476,0.015000949024435202,0.02039706498862568,0.043256997455470736,0.03153088898871584,0.05554415604493293
C2_test,all,historical_ef_selected,ipin_baseline,30,False,3930,0.7080448141964895,0.604942013047518,0.8270163246756637,0.40916030534351133,0.34798523718054686,0.4760463900043608,0.06641415380200583,0.0564161614332356,0.07711050079557502,0.013638676844784758,0.01159950790601884,0.015868213000146035,0.043002544529262,0.03139291123910727,0.05446993545869396
C2_test,all,historical_ef_selected,ipin_optimized,10,False,3930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_test,all,historical_ef_selected,ipin_optimized,20,False,3930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_test,all,historical_ef_selected,ipin_optimized,30,False,3930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2_test,all,historical_ef_selected,tuna_retrained,10,False,3930,-0.5292591763402337,-0.797655268823289,-0.26662844816745046,-0.1035623409669213,-0.13713952512644587,-0.06672803356619733,-0.014566679912236646,-0.024174277228099544,-0.004263800179290285,-0.010356234096692424,-0.013713952512645044,-0.006672803356619904,-0.018829516539440205,-0.03276270381568913,-0.004285549108644424
C2_test,all,historical_ef_selected,tuna_retrained,20,False,3930,-0.5585483190349061,-0.7241798936137975,-0.4165746776061595,-0.2363867684478369,-0.2785611106040324,-0.1942125367916917,-0.0342521576133456,-0.04567051919867873,-0.023883346271924715,-0.011819338422392217,-0.013928055530201964,-0.00971062683958474,-0.02442748091603053,-0.03822441217814884,-0.011741500945988482
