species,subset,candidate_set,metric,model_a,model_b,targets,difference_b_minus_a,ci_low,ci_high
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_optimized,tuna_retrained,47,0.03994934600495284,-0.0017600149337597159,0.08508916590115778
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_optimized,ipin_tuna_31k,47,0.03654922585559928,-0.031904351563007013,0.10297413716618684
mouse,no_exact_TRAIN_DEV_endpoint,matched,average_precision,tuna_retrained,ipin_tuna_31k,47,-0.0034001201493535638,-0.064237389339871,0.05371669479765247
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_baseline,ipin_optimized,47,-0.028605065402575736,-0.07825579141217655,0.016141752211317154
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_baseline,tuna_retrained,47,0.04893428634321581,-0.0332341928450472,0.13841689988887762
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_baseline,ipin_tuna_31k,47,0.06945512277145413,-0.0398835967664527,0.1802809382708711
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_optimized,tuna_retrained,47,0.07753935174579155,0.009769872954983487,0.15699909241346158
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_optimized,ipin_tuna_31k,47,0.09806018817402987,-0.009054311040665858,0.20777956255648797
mouse,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,tuna_retrained,ipin_tuna_31k,47,0.02052083642823832,-0.09341440817337732,0.1357965609873276
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_baseline,ipin_optimized,47,0.026747720364741684,-0.05303951367781157,0.11043566362715301
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_baseline,tuna_retrained,47,0.12814927389395478,0.04182624113475179,0.22105749746707185
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_baseline,ipin_tuna_31k,47,0.050709219858156046,-0.04473277608915904,0.1468085106382978
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_optimized,tuna_retrained,47,0.1014015535292131,-0.003057666328942993,0.20299138804457945
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_optimized,ipin_tuna_31k,47,0.023961499493414362,-0.09483789260385002,0.1402241641337385
mouse,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,tuna_retrained,ipin_tuna_31k,47,-0.07744005403579873,-0.17779761904761907,0.0232062647754136
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_baseline,ipin_optimized,47,-0.004615504583527413,-0.05413271049930161,0.04446112553451376
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_baseline,tuna_retrained,47,0.06322756053240733,-0.001009822661062823,0.12833833177545628
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_baseline,ipin_tuna_31k,47,0.04134646914339349,-0.04574099319900649,0.1254533255234114
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_optimized,tuna_retrained,47,0.06784306511593474,0.010836561297084176,0.12794644806401806
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_optimized,ipin_tuna_31k,47,0.0459619737269209,-0.04089389925465971,0.1323029699415938
mouse,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,tuna_retrained,ipin_tuna_31k,47,-0.02188109138901384,-0.09523679222770189,0.05094273546615576
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_baseline,ipin_optimized,47,-0.015925499695161993,-0.052622794441855865,0.01868693326153907
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_baseline,tuna_retrained,47,-0.018374784864611415,-0.056117489177168564,0.01843335699623658
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,47,0.027243883917372758,-0.009383658446159135,0.0628551681701214
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_optimized,tuna_retrained,47,-0.002449285169449422,-0.03839811896116894,0.03462642081779279
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,47,0.04316938361253475,-0.005573319213947896,0.09094009702875389
mouse,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,47,0.04561866878198417,0.0011490596214371374,0.09248067724620526
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_baseline,ipin_optimized,47,-0.023483193991564344,-0.06972603938568886,0.009635723863510543
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_baseline,tuna_retrained,47,-0.0014990874160313306,-0.05760772138461823,0.04225974569491331
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_baseline,ipin_tuna_31k,47,-0.01354182761163461,-0.08128699382527914,0.045848388475340604
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_optimized,tuna_retrained,47,0.021984106575533013,-0.005964913425500729,0.052767303058775944
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,ipin_optimized,ipin_tuna_31k,47,0.009941366379929734,-0.04354838120910601,0.05781478844883877
mouse,no_exact_TRAIN_DEV_endpoint,all_U,average_precision,tuna_retrained,ipin_tuna_31k,47,-0.01204274019560328,-0.06298821566584271,0.032539254803672236
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_baseline,ipin_optimized,47,-0.02478747282473251,-0.08081189000651269,0.018781737443316623
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_baseline,tuna_retrained,47,0.017034536197006483,-0.06254718018115905,0.09254566810456322
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_baseline,ipin_tuna_31k,47,0.019074869614384926,-0.08494761335263473,0.12182134071948562
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_optimized,tuna_retrained,47,0.04182200902173899,-0.007915582180392212,0.1027754734213468
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,ipin_optimized,ipin_tuna_31k,47,0.043862342439117435,-0.0426023459146564,0.13161191390613297
mouse,no_exact_TRAIN_DEV_endpoint,all_U,reciprocal_rank,tuna_retrained,ipin_tuna_31k,47,0.0020403334173784426,-0.09384885347921036,0.09498273171024804
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_baseline,ipin_optimized,47,0.020770010131712258,-0.031003039513677805,0.074468085106383
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_baseline,tuna_retrained,47,0.04123606889564335,-0.04640324214792299,0.1324214792299898
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_baseline,ipin_tuna_31k,47,-0.005065856129685908,-0.0872340425531915,0.07456940222897669
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_optimized,tuna_retrained,47,0.020466058763931094,-0.0713272543059777,0.10952634245187436
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,ipin_optimized,ipin_tuna_31k,47,-0.025835866261398166,-0.12158054711246202,0.06514944275582571
mouse,no_exact_TRAIN_DEV_endpoint,all_U,recall_at_10,tuna_retrained,ipin_tuna_31k,47,-0.04630192502532926,-0.12583839918946305,0.031005572441742638
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_baseline,ipin_optimized,47,-0.01098334747026701,-0.05282520026663322,0.02459990671585306
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_baseline,tuna_retrained,47,0.014643111179855811,-0.05138854236848128,0.07225274798503299
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_baseline,ipin_tuna_31k,47,-0.0100102335129722,-0.0856682003826358,0.06134765286775068
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_optimized,tuna_retrained,47,0.02562645865012282,-0.021349339566427872,0.0729480219687076
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,ipin_optimized,ipin_tuna_31k,47,0.0009731139572948105,-0.0654558381009094,0.06555419868744249
mouse,no_exact_TRAIN_DEV_endpoint,all_U,NDCG_at_10,tuna_retrained,ipin_tuna_31k,47,-0.02465334469282801,-0.08194276975510395,0.029963489682691923
