species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
ecoli,all,background,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,all,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,31,7
ecoli,all,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,24,0,26
ecoli,all,background,tuna_retrained,ipin_tuna_31k,average_precision,50,29,0,21
ecoli,all,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,16,27,7
ecoli,all,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,22,1,27
ecoli,all,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,all,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,29,9
ecoli,all,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,19,0,31
ecoli,all,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
ecoli,all,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,11,28,11
ecoli,all,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,25,1,24
ecoli,all,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,31,0,19
ecoli,all,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,15,28,7
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,23,0,27
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,11,32,7
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,20,0,30
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,25,0,25
ecoli,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,9,36,5
