species,subset,candidate_set,metric,model,targets,estimate,ci_low,ci_high
fly,all,all_U,reciprocal_rank,ipin_tuna_31k,50,0.2755245031819022,0.18224257531718133,0.3759469799799116
fly,all,all_U,recall_at_10,ipin_baseline,50,0.10524603174603175,0.06207936507936509,0.1580561507936508
fly,all,all_U,recall_at_10,ipin_optimized,50,0.12122222222222222,0.0768875,0.1685583333333333
fly,all,all_U,recall_at_10,tuna_retrained,50,0.15049206349206348,0.10360972222222223,0.2011672619047619
fly,all,all_U,recall_at_10,ipin_tuna_31k,50,0.12796031746031744,0.08507936507936507,0.17253353174603173
fly,all,all_U,NDCG_at_10,ipin_baseline,50,0.08856533728327542,0.05699209999179931,0.12302524641516245
fly,all,all_U,NDCG_at_10,ipin_optimized,50,0.11552112840932413,0.07560045332561664,0.15674050220802804
fly,all,all_U,NDCG_at_10,tuna_retrained,50,0.15095278521491357,0.10110984978364126,0.20510112757839066
fly,all,all_U,NDCG_at_10,ipin_tuna_31k,50,0.12154294800907181,0.08110446993775755,0.16501913917738897
fly,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,50,0.6455017460317459,0.5990230674603174,0.6910118273809522
fly,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_optimized,50,0.6281219841269842,0.5819645198412697,0.6738400396825398
fly,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,tuna_retrained,50,0.6752509523809523,0.6308895555555554,0.7182945317460318
fly,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_tuna_31k,50,0.6710380158730159,0.6273734265873016,0.7147313075396826
fly,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,50,0.1615448996877427,0.12807365037287693,0.1965475648756893
fly,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_optimized,50,0.18260751371404557,0.14180713786362137,0.22493137431689486
fly,no_exact_TRAIN_DEV_endpoint,background,average_precision,tuna_retrained,50,0.20536426940722735,0.15994374435894235,0.2533084800726523
fly,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_tuna_31k,50,0.19843124002505402,0.1582400976154355,0.24199115955566314
fly,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,50,0.3010239538887707,0.2152604904596947,0.3945382369317385
fly,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_optimized,50,0.37284981136665896,0.2655521476157683,0.48242478333488226
fly,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,tuna_retrained,50,0.37033610039385906,0.27204497951760886,0.4733036383587676
fly,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_tuna_31k,50,0.34401727926070036,0.2529309352927774,0.442862991047695
fly,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,50,0.1801031746031746,0.12354623015873016,0.24185773809523806
fly,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_optimized,50,0.23201587301587304,0.16429960317460318,0.3042234126984127
fly,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,tuna_retrained,50,0.20834920634920637,0.15329285714285715,0.26429444444444444
fly,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_tuna_31k,50,0.2346825396825397,0.17405555555555555,0.3006065476190476
fly,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,50,0.15386656374870966,0.10841643035872067,0.2021921285694851
fly,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_optimized,50,0.20110574719493404,0.14316404875961355,0.2599832818196317
fly,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,tuna_retrained,50,0.20484069714762987,0.14830119465488642,0.2643410048718585
fly,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_tuna_31k,50,0.20704673408286303,0.15474824772407317,0.2615911922025553
fly,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_baseline,50,0.6435919047619048,0.596186380952381,0.6895017182539682
fly,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_optimized,50,0.6292295238095238,0.5823952499999999,0.6740881507936508
fly,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,tuna_retrained,50,0.678287380952381,0.6327668055555555,0.7221961825396825
fly,no_exact_TRAIN_DEV_endpoint,matched,P_vs_U_concordance,ipin_tuna_31k,50,0.672196507936508,0.6322349166666668,0.7112419603174605
fly,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_baseline,50,0.1592575599270605,0.12781096475158066,0.19230390948305803
fly,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_optimized,50,0.17324055657837703,0.13730567007968814,0.2112072422870446
fly,no_exact_TRAIN_DEV_endpoint,matched,average_precision,tuna_retrained,50,0.2110734186355022,0.1650999134468142,0.25915224164395606
fly,no_exact_TRAIN_DEV_endpoint,matched,average_precision,ipin_tuna_31k,50,0.18700965805090658,0.15189381715757905,0.22425654956781318
fly,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_baseline,50,0.29953759649677336,0.20897458860076232,0.3947438643122152
fly,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_optimized,50,0.337281618123711,0.2390657180125952,0.44158392163224824
fly,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,tuna_retrained,50,0.432449209006902,0.3189062753840334,0.5482091446948362
fly,no_exact_TRAIN_DEV_endpoint,matched,reciprocal_rank,ipin_tuna_31k,50,0.3690615014070896,0.2659162323991368,0.47714844899789755
fly,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_baseline,50,0.1589920634920635,0.10821369047619046,0.21727261904761902
fly,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_optimized,50,0.19080158730158728,0.1338325396825397,0.25289285714285714
fly,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,tuna_retrained,50,0.2154047619047619,0.16238749999999996,0.27059563492063493
fly,no_exact_TRAIN_DEV_endpoint,matched,recall_at_10,ipin_tuna_31k,50,0.23518253968253966,0.17685615079365083,0.29731726190476176
fly,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_baseline,50,0.14339568825135934,0.1000914759780203,0.1893668053511433
fly,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_optimized,50,0.17403987065195006,0.12314868861525782,0.2275540841848186
fly,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,tuna_retrained,50,0.21500840679560845,0.15953277833126014,0.27344569237242655
fly,no_exact_TRAIN_DEV_endpoint,matched,NDCG_at_10,ipin_tuna_31k,50,0.19998629240500498,0.15210627424880682,0.24926242246949204
fly,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_baseline,50,0.6445468253968255,0.60014916765873,0.690526492063492
fly,no_exact_TRAIN_DEV_endpoint,all_U,P_vs_U_concordance,ipin_optimized,50,0.628675753968254,0.5849501676587301,0.6727565
