target,positive_subset,candidate_set,reference_model,P,U,reference_P_vs_U_concordance,selected_31k_P_vs_U_concordance,delta_P_vs_U_concordance,reference_average_precision,selected_31k_average_precision,delta_average_precision,reference_reciprocal_rank,selected_31k_reciprocal_rank,delta_reciprocal_rank,reference_recovered_P_at_5,selected_31k_recovered_P_at_5,delta_recovered_P_at_5,reference_recovered_P_at_10,selected_31k_recovered_P_at_10,delta_recovered_P_at_10,reference_recovered_P_at_20,selected_31k_recovered_P_at_20,delta_recovered_P_at_20
BECN1,exclude_development_P,background,tuna_retrained,3,150,0.8244444444444444,0.8422222222222222,0.01777777777777778,0.6788617886178862,0.09675438596491226,-0.5821074026529739,1.0,0.125,-0.875,2.0,0.0,-2.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,background,tuna_original,4,200,0.845,0.72875,-0.11624999999999996,0.30049130763416476,0.15030165912518853,-0.15018964850897623,1.0,0.3333333333333333,-0.6666666666666667,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,background,tuna_original,3,150,0.8933333333333333,0.9977777777777778,0.10444444444444445,0.12831286360698124,0.9166666666666666,0.7883538030596854,0.14285714285714285,1.0,0.8571428571428572,0.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0
EGFR,exclude_development_P,background,tuna_original,3,150,0.9977777777777778,0.9977777777777778,0.0,0.9166666666666666,0.9166666666666666,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
BCL2,exclude_development_P,background,tuna_original,3,150,0.7311111111111112,0.6622222222222223,-0.06888888888888889,0.05818872485539152,0.06064247921390778,0.0024537543585162608,0.07692307692307693,0.1111111111111111,0.03418803418803418,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
KEAP1,exclude_development_P,background,tuna_original,2,150,0.61,0.7766666666666666,0.16666666666666663,0.02429667519181586,0.05600539811066127,0.03170872291884541,0.0196078431372549,0.07692307692307693,0.057315233785822026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRCA1,exclude_development_P,background,tuna_original,3,150,0.9688888888888889,0.8222222222222222,-0.14666666666666672,0.3547008547008547,0.3722222222222222,0.01752136752136746,0.3333333333333333,1.0,0.6666666666666667,2.0,1.0,-1.0,2.0,1.0,-1.0,3.0,1.0,-2.0
KRAS,exclude_development_P,background,tuna_original,3,150,0.9288888888888889,0.8977777777777778,-0.03111111111111109,0.1582251082251082,0.11189931350114415,-0.04632579472396406,0.14285714285714285,0.1,-0.042857142857142844,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,-1.0
CDK2,exclude_development_P,background,tuna_original,3,150,0.66,0.8622222222222222,0.2022222222222222,0.03647869827305311,0.08543123543123543,0.04895253715818232,0.030303030303030304,0.05,0.0196969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HIF1A,exclude_development_P,background,tuna_original,3,150,0.8022222222222222,0.9488888888888889,0.14666666666666672,0.37170645446507516,0.3253968253968254,-0.04630962906824976,1.0,0.5,-0.5,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,exclude_development_P,background,tuna_original,3,150,0.7022222222222222,0.8022222222222222,0.09999999999999998,0.04890147115756871,0.10512119555312556,0.05621972439555685,0.0625,0.2,0.1375,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
TNFRSF1A,exclude_development_P,background,tuna_original,3,150,0.64,0.7644444444444445,0.12444444444444447,0.0341687552213868,0.11392729134664618,0.07975853612525938,0.02631578947368421,0.14285714285714285,0.11654135338345864,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
BECN1,exclude_development_P,background,tuna_original,3,150,0.7688888888888888,0.8422222222222222,0.07333333333333336,0.30970873786407765,0.09675438596491226,-0.2129543518991654,0.5,0.125,-0.375,2.0,0.0,-2.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,exclude_development_P,low_plausibility,ipin_baseline,4,200,0.47625,0.71375,0.2375,0.06643012402506074,0.3380316579553617,0.27160153393030095,0.2,1.0,0.8,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.7733333333333333,0.9955555555555555,0.2222222222222222,0.05921052631578947,0.8055555555555556,0.7463450292397661,0.07142857142857142,1.0,0.9285714285714286,0.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2.0
EGFR,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.5933333333333334,0.9977777777777778,0.4044444444444444,0.03313248596267464,0.9166666666666666,0.883534180703992,0.02564102564102564,1.0,0.9743589743589743,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.9466666666666667,0.76,-0.18666666666666665,0.28609625668449196,0.14851684263448967,-0.1375794140500023,0.5,0.3333333333333333,-0.16666666666666669,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,-2.0
KEAP1,exclude_development_P,low_plausibility,ipin_baseline,2,150,0.61,0.8833333333333333,0.2733333333333333,0.02429667519181586,0.10368663594470046,0.0793899607528846,0.0196078431372549,0.14285714285714285,0.12324929971988795,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
BRCA1,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.9111111111111111,0.9488888888888889,0.0377777777777778,0.24189095928226362,0.28888888888888886,0.046997929606625244,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0
KRAS,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.9422222222222222,0.9955555555555555,0.053333333333333344,0.17965367965367965,0.8666666666666666,0.687012987012987,0.14285714285714285,1.0,0.8571428571428572,0.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0
CDK2,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.8866666666666667,0.9711111111111111,0.08444444444444443,0.392258064516129,0.30277777777777776,-0.08948028673835123,1.0,0.2,-0.8,1.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0
HIF1A,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.96,0.9977777777777778,0.0377777777777778,0.49107142857142855,0.9166666666666666,0.4255952380952381,1.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,0.0
CTNNB1,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.9444444444444444,0.9488888888888889,0.004444444444444473,0.44345238095238093,0.4898989898989899,0.04644660894660896,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,-1.0
TNFRSF1A,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.7,0.8466666666666667,0.14666666666666672,0.07579198695550896,0.34782608695652173,0.2720341000010128,0.125,0.5,0.375,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
BECN1,exclude_development_P,low_plausibility,ipin_baseline,3,150,0.8444444444444444,0.9511111111111111,0.10666666666666669,0.5694444444444444,0.26190476190476186,-0.30753968253968256,1.0,0.3333333333333333,-0.6666666666666667,2.0,1.0,-1.0,2.0,2.0,0.0,2.0,3.0,1.0
ERN1,exclude_development_P,low_plausibility,ipin_optimized,4,200,0.48875,0.71375,0.22499999999999998,0.06606522307928989,0.3380316579553617,0.27196643487607186,0.2,1.0,0.8,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,exclude_development_P,low_plausibility,ipin_optimized,3,150,0.6555555555555556,0.9955555555555555,0.33999999999999997,0.03580105601299708,0.8055555555555556,0.7697544995425585,0.02857142857142857,1.0,0.9714285714285714,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
EGFR,exclude_development_P,low_plausibility,ipin_optimized,3,150,0.6888888888888889,0.9977777777777778,0.3088888888888889,0.03972376829519686,0.9166666666666666,0.8769428983714698,0.023809523809523808,1.0,0.9761904761904762,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,exclude_development_P,low_plausibility,ipin_optimized,3,150,0.9911111111111112,0.76,-0.23111111111111116,0.5888888888888888,0.14851684263448967,-0.44037204625439913,0.5,0.3333333333333333,-0.16666666666666669,3.0,1.0,-2.0,3.0,1.0,-2.0,3.0,1.0,-2.0
KEAP1,exclude_development_P,low_plausibility,ipin_optimized,2,150,0.6066666666666667,0.8833333333333333,0.2766666666666666,0.02811094452773613,0.10368663594470046,0.07557569141696432,0.034482758620689655,0.14285714285714285,0.1083743842364532,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
BRCA1,exclude_development_P,low_plausibility,ipin_optimized,3,150,0.9888888888888889,0.9488888888888889,-0.040000000000000036,0.5555555555555555,0.28888888888888886,-0.2666666666666666,0.5,0.5,0.0,2.0,1.0,-1.0,3.0,1.0,-2.0,3.0,3.0,0.0
