target,positive_subset,candidate_set,P,U,evaluated
EGFR,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
EGFR,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
EGFR,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
EGFR,exclude_any_model_prior_pairs,context,3,150,True
EGFR,exclude_any_model_prior_pairs,background,3,150,True
EGFR,exclude_any_model_prior_pairs,low_plausibility,3,150,True
EGFR,exclude_any_model_prior_pairs,context_background,3,300,True
EGFR,exclude_any_model_prior_pairs,all_U,3,450,True
EGFR,exclude_any_model_prior_pairs_and_homomers,context,3,150,True
EGFR,exclude_any_model_prior_pairs_and_homomers,background,3,150,True
EGFR,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True
EGFR,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True
EGFR,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True
EGFR,exclude_all_five_prior_pairs,context,2,146,True
EGFR,exclude_all_five_prior_pairs,background,2,148,True
EGFR,exclude_all_five_prior_pairs,low_plausibility,2,147,True
EGFR,exclude_all_five_prior_pairs,context_background,2,294,True
EGFR,exclude_all_five_prior_pairs,all_U,2,441,True
EGFR,exclude_all_five_prior_pairs_and_homomers,context,2,146,True
EGFR,exclude_all_five_prior_pairs_and_homomers,background,2,148,True
EGFR,exclude_all_five_prior_pairs_and_homomers,low_plausibility,2,147,True
EGFR,exclude_all_five_prior_pairs_and_homomers,context_background,2,294,True
EGFR,exclude_all_five_prior_pairs_and_homomers,all_U,2,441,True
BCL2,all_P,context,3,150,True
BCL2,all_P,background,3,150,True
BCL2,all_P,low_plausibility,3,150,True
BCL2,all_P,context_background,3,300,True
BCL2,all_P,all_U,3,450,True
BCL2,exclude_development_P,context,3,150,True
BCL2,exclude_development_P,background,3,150,True
BCL2,exclude_development_P,low_plausibility,3,150,True
BCL2,exclude_development_P,context_background,3,300,True
BCL2,exclude_development_P,all_U,3,450,True
BCL2,exclude_development_P_and_homomers,context,3,150,True
BCL2,exclude_development_P_and_homomers,background,3,150,True
BCL2,exclude_development_P_and_homomers,low_plausibility,3,150,True
BCL2,exclude_development_P_and_homomers,context_background,3,300,True
BCL2,exclude_development_P_and_homomers,all_U,3,450,True
BCL2,exclude_prior_train_development_P,context,3,150,True
BCL2,exclude_prior_train_development_P,background,3,150,True
BCL2,exclude_prior_train_development_P,low_plausibility,3,150,True
BCL2,exclude_prior_train_development_P,context_background,3,300,True
BCL2,exclude_prior_train_development_P,all_U,3,450,True
BCL2,exclude_prior_train_development_P_and_homomers,context,3,150,True
BCL2,exclude_prior_train_development_P_and_homomers,background,3,150,True
BCL2,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True
BCL2,exclude_prior_train_development_P_and_homomers,context_background,3,300,True
BCL2,exclude_prior_train_development_P_and_homomers,all_U,3,450,True
BCL2,exclude_any_model_prior_pairs,context,0,149,False
BCL2,exclude_any_model_prior_pairs,background,0,149,False
BCL2,exclude_any_model_prior_pairs,low_plausibility,0,150,False
BCL2,exclude_any_model_prior_pairs,context_background,0,298,False
BCL2,exclude_any_model_prior_pairs,all_U,0,448,False
BCL2,exclude_any_model_prior_pairs_and_homomers,context,0,149,False
BCL2,exclude_any_model_prior_pairs_and_homomers,background,0,149,False
BCL2,exclude_any_model_prior_pairs_and_homomers,low_plausibility,0,150,False
BCL2,exclude_any_model_prior_pairs_and_homomers,context_background,0,298,False
BCL2,exclude_any_model_prior_pairs_and_homomers,all_U,0,448,False
BCL2,exclude_all_five_prior_pairs,context,0,148,False
BCL2,exclude_all_five_prior_pairs,background,0,147,False
BCL2,exclude_all_five_prior_pairs,low_plausibility,0,147,False
BCL2,exclude_all_five_prior_pairs,context_background,0,295,False
BCL2,exclude_all_five_prior_pairs,all_U,0,442,False
BCL2,exclude_all_five_prior_pairs_and_homomers,context,0,148,False
BCL2,exclude_all_five_prior_pairs_and_homomers,background,0,147,False
BCL2,exclude_all_five_prior_pairs_and_homomers,low_plausibility,0,147,False
BCL2,exclude_all_five_prior_pairs_and_homomers,context_background,0,295,False
BCL2,exclude_all_five_prior_pairs_and_homomers,all_U,0,442,False
KEAP1,all_P,context,3,150,True
KEAP1,all_P,background,3,150,True
KEAP1,all_P,low_plausibility,3,150,True
KEAP1,all_P,context_background,3,300,True
KEAP1,all_P,all_U,3,450,True
KEAP1,exclude_development_P,context,2,150,True
KEAP1,exclude_development_P,background,2,150,True
KEAP1,exclude_development_P,low_plausibility,2,150,True
KEAP1,exclude_development_P,context_background,2,300,True
KEAP1,exclude_development_P,all_U,2,450,True
KEAP1,exclude_development_P_and_homomers,context,2,150,True
KEAP1,exclude_development_P_and_homomers,background,2,150,True
KEAP1,exclude_development_P_and_homomers,low_plausibility,2,150,True
KEAP1,exclude_development_P_and_homomers,context_background,2,300,True
KEAP1,exclude_development_P_and_homomers,all_U,2,450,True
KEAP1,exclude_prior_train_development_P,context,2,150,True
KEAP1,exclude_prior_train_development_P,background,2,150,True
KEAP1,exclude_prior_train_development_P,low_plausibility,2,150,True
KEAP1,exclude_prior_train_development_P,context_background,2,300,True
KEAP1,exclude_prior_train_development_P,all_U,2,450,True
KEAP1,exclude_prior_train_development_P_and_homomers,context,2,150,True
KEAP1,exclude_prior_train_development_P_and_homomers,background,2,150,True
KEAP1,exclude_prior_train_development_P_and_homomers,low_plausibility,2,150,True
KEAP1,exclude_prior_train_development_P_and_homomers,context_background,2,300,True
KEAP1,exclude_prior_train_development_P_and_homomers,all_U,2,450,True
KEAP1,exclude_any_model_prior_pairs,context,2,150,True
KEAP1,exclude_any_model_prior_pairs,background,2,150,True
KEAP1,exclude_any_model_prior_pairs,low_plausibility,2,150,True
KEAP1,exclude_any_model_prior_pairs,context_background,2,300,True
KEAP1,exclude_any_model_prior_pairs,all_U,2,450,True
KEAP1,exclude_any_model_prior_pairs_and_homomers,context,2,150,True
KEAP1,exclude_any_model_prior_pairs_and_homomers,background,2,150,True
KEAP1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,2,150,True
KEAP1,exclude_any_model_prior_pairs_and_homomers,context_background,2,300,True
KEAP1,exclude_any_model_prior_pairs_and_homomers,all_U,2,450,True
KEAP1,exclude_all_five_prior_pairs,context,2,148,True
KEAP1,exclude_all_five_prior_pairs,background,2,150,True
KEAP1,exclude_all_five_prior_pairs,low_plausibility,2,150,True
KEAP1,exclude_all_five_prior_pairs,context_background,2,298,True
KEAP1,exclude_all_five_prior_pairs,all_U,2,448,True
