target,model,positive_subset,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,tuna_original,exclude_development_P,context,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_development_P,context,4,200,204,0.78625,0.13554376657824932,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,2.0,0.5,0.2,10.200000000000001,0.2741708125981702,1.0,2.0,0.5,0.1,5.1000000000000005,0.2741708125981702,1.0
ERN1,ipin_baseline,exclude_development_P,background,4,200,204,0.49,0.05840617715617715,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,exclude_development_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,tuna_retrained,exclude_development_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_original,exclude_development_P,background,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_development_P,background,4,200,204,0.72875,0.15030165912518853,3,3,3.0,0.3333333333333333,1.0,0.25,0.2,10.200000000000001,0.19519002499605084,1.0,2.0,0.5,0.2,10.200000000000001,0.3080351663449861,1.0,2.0,0.5,0.1,5.1000000000000005,0.3080351663449861,1.0
ERN1,ipin_baseline,exclude_development_P,low_plausibility,4,200,204,0.47625,0.06643012402506074,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,1.0,0.25,0.1,5.1000000000000005,0.15101961822780524,1.0,1.0,0.25,0.05,2.5500000000000003,0.15101961822780524,1.0
ERN1,ipin_optimized,exclude_development_P,low_plausibility,4,200,204,0.48875,0.06606522307928989,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,1.0,0.25,0.1,5.1000000000000005,0.15101961822780524,1.0,1.0,0.25,0.05,2.5500000000000003,0.15101961822780524,1.0
ERN1,tuna_retrained,exclude_development_P,low_plausibility,4,200,204,0.85375,0.3497762741460221,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,3.0,0.75,0.15,7.6499999999999995,0.5928918137479302,1.0
ERN1,tuna_original,exclude_development_P,low_plausibility,4,200,204,0.985,0.5798611111111112,1,1,1.0,1.0,2.0,0.5,0.4,20.400000000000002,0.5585075862632192,1.0,4.0,1.0,0.4,20.400000000000002,0.7991748853900112,1.0,4.0,1.0,0.2,10.200000000000001,0.7991748853900112,1.0
ERN1,tuna_selected_31k,exclude_development_P,low_plausibility,4,200,204,0.71375,0.3380316579553617,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,2.0,0.5,0.2,10.200000000000001,0.5205067333228022,1.0,2.0,0.5,0.1,5.1000000000000005,0.5205067333228022,1.0
ERN1,ipin_baseline,exclude_development_P,context_background,4,400,404,0.475,0.02209216360971506,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,5.05,0.09189894336865458,1.0
ERN1,ipin_optimized,exclude_development_P,context_background,4,400,404,0.505,0.026332356452838383,14,14,14.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,5.05,0.09992090652113537,1.0
ERN1,tuna_retrained,exclude_development_P,context_background,4,400,404,0.6575,0.2637616400158356,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_original,exclude_development_P,context_background,4,400,404,0.72125,0.26477038960387345,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_development_P,context_background,4,400,404,0.7575,0.07690205558982546,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,10.1,0.13012668333070054,1.0,2.0,0.5,0.1,10.1,0.22563337419340843,1.0
ERN1,ipin_baseline,exclude_development_P,all_U,4,600,604,0.47541666666666665,0.016871955060277798,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P,all_U,4,600,604,0.4995833333333333,0.019479688783887575,18,18,18.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,7.550000000000001,0.09189894336865458,1.0
ERN1,tuna_retrained,exclude_development_P,all_U,4,600,604,0.7229166666666667,0.2620983755352065,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,tuna_original,exclude_development_P,all_U,4,600,604,0.8091666666666667,0.26440459830290336,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,tuna_selected_31k,exclude_development_P,all_U,4,600,604,0.7429166666666667,0.06581847831184902,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,15.100000000000001,0.13012668333070054,1.0,1.0,0.25,0.05,7.550000000000001,0.13012668333070054,1.0
ERN1,ipin_baseline,exclude_development_P_and_homomers,context,3,200,203,0.3,0.013543956043956043,91,91,91.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,context,3,200,203,0.3283333333333333,0.01444681861348528,130,130,130.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,context,3,200,203,0.43166666666666664,0.01754330830218223,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_original,exclude_development_P_and_homomers,context,3,200,203,0.4633333333333333,0.01758977582233396,74,74,74.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_selected_31k,exclude_development_P_and_homomers,context,3,200,203,0.725,0.08843421426541631,5,5,5.0,0.2,1.0,0.3333333333333333,0.2,13.533333333333335,0.18154179253735267,1.0,1.0,0.3333333333333333,0.1,6.7666666666666675,0.18154179253735267,1.0,1.0,0.3333333333333333,0.05,3.3833333333333337,0.18154179253735267,1.0
ERN1,ipin_baseline,exclude_development_P_and_homomers,background,3,200,203,0.3283333333333333,0.014234770265803338,79,79,79.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ipin_optimized,exclude_development_P_and_homomers,background,3,200,203,0.37333333333333335,0.015380830593106807,119,119,119.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,tuna_retrained,exclude_development_P_and_homomers,background,3,200,203,0.655,0.03468712327125967,33,33,33.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
