row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
147,-5.66523551940918,-5.404135227203369,-5.209252834320068,-5.426207860310872
148,-6.188501358032227,-6.497292995452881,-5.86683988571167,-6.184211413065593
149,-8.173397064208984,-8.004434585571289,-8.008837699890137,-8.062223116556803
150,-4.467890739440918,-3.5693178176879883,-3.5862016677856445,-3.874470074971517
151,-6.4491777420043945,-7.3722453117370605,-7.3467841148376465,-7.056069056193034
152,-5.711984634399414,-5.644900798797607,-6.353240966796875,-5.903375466664632
153,-3.7630069255828857,-5.2179694175720215,-4.696389198303223,-4.55912184715271
154,-6.647458076477051,-7.311227798461914,-7.005914688110352,-6.9882001876831055
155,-5.199916362762451,-4.780062675476074,-6.882261276245117,-5.620746771494548
156,-4.659384727478027,-5.231292247772217,-5.380577564239502,-5.090418179829915
157,-6.5150861740112305,-5.039305686950684,-6.08912992477417,-5.881173928578694
158,-5.7598137855529785,-6.463446140289307,-6.572103023529053,-6.265120983123779
159,-4.41944694519043,-4.440011024475098,-3.9689862728118896,-4.276148080825806
160,-0.0702555850148201,-4.0612688064575195,-2.655780553817749,-2.262434981763363
161,-3.7773892879486084,-4.212009906768799,-3.7776286602020264,-3.922342618306478
162,-4.9105963706970215,-6.209320545196533,-4.859670162200928,-5.326529026031494
163,-5.620606899261475,-6.479992389678955,-6.430762767791748,-6.177120685577393
164,-7.256542682647705,-6.922248363494873,-6.2472004890441895,-6.808663845062256
165,-4.592548370361328,-4.417281150817871,-5.0918474197387695,-4.700558980305989
166,-3.877650022506714,-4.927953243255615,-4.605794429779053,-4.470465898513794
167,-4.979578495025635,-5.4108967781066895,-5.59276819229126,-5.327747821807861
168,-4.885286808013916,-4.769171237945557,-3.935286283493042,-4.529914776484172
169,-4.162227153778076,-4.851253986358643,-5.7937140464782715,-4.935731728871663
170,-3.405026435852051,-4.42350435256958,-2.642308235168457,-3.4902796745300293
